Ulasan,Rating,Aspek,Sentimen
ls kali di mlbb,1,unknown,neutral
jangan main game ini kalau main tambah stres tidak pernah di munculin hero yang di mau,1,satisfaction,negative
nice job benar benar ngasah otakk,5,unknown,negative
game ini sangat asik dan seru apalagi dimainkan dengan santay,5,satisfaction,positive
kok saya tidak bisa log ini padahal sudah versi terbaru play store tapi yang di layar sebelum masuk tolong dong bantuannya,1,effectiveness,negative
magic kristal nya tidak sesuai terus setelah memilih hero di awal,1,effectiveness,negative
intinya ini sering bug koneksi padahal koneksi sudah bagus malah nge lag di pertengahan pertandingan game juga sudah di tur sama sistem siapa yang bakal menang dan kalah,1,effectiveness,negative
saya kasih bintang saja soal ya suka banyak bag dan tidak adil dalam hiro,3,satisfaction,negative
jelekkkk sekali sinergi nya tidak jelas baru itu juga lag sering nge bug dll jangan di download sih saran gweh entar lu malah yang stres terus itu kenapa sih sering sekali lag padahal kalau di mlbb tidak lag jir baru itu juga kalau lagi machmiking seperti bug begitu tolonggg di perbaiki lagi masalah koneksi nya jangan lambat kenapa di igwatik tokmlbbapk online lain nya lancar saja tuh saat di mcgg doang yang nge bug mengira ponsel ku jir yang rusak saat ku cek banyak juga toh yang ngelagmohon nya mcgg di perbaiki lgigood job,1,satisfaction,negative
kembalikan stok hero harga,5,satisfaction,neutral
ketika sudah menang selalu gane berikutnya hero tidak diberi sedangkan musuh diberi,1,satisfaction,neutral
cuma kalau misalnya ada gogo card synergi suka dapat kacau jadi susah,4,satisfaction,negative
apalah game baru mulai saja sudah fresh mending macig chess sebelum update,1,satisfaction,negative
sistem persentase hero aneh tidak akurat ya kali sekarang susah sekali naikin hero bintang sementara saya nilai bintang dulu karena sistem nya sekarang aneh,1,satisfaction,negative
game anjiiiinngggg kemenangan ditentukan oleh sistem skil tak ada gunanya di game ini,1,satisfaction,negative
tolong hero hanabinya hapus tidak usah di di pasang karena secara tidak adil dari tambahan sinerginya secara tidak normal,3,effectiveness,negative
comender buts cacat permanen skill nya membuat emosi saja hapus saja itu comender,3,satisfaction,negative
bang boger meminta nerf karina apa hapus saja gapapa saya ikhlas kok ehek,4,satisfaction,negative
emot ku kok yang dapat dari magic ches dulu pada tidak bisa di pakai mending seperti dulu lah magic ches nya di aplikasi mobile legend dari pada pisah begini emot nya pada hilang,1,satisfaction,negative
maaf menurut pribadi sayah terlalu kebanyakan heroo dan updet terus tapi susahh sekali untuk mendapatkan heroo ya untuk naikin level tolong jangan terlalu apdet dan jangan tambahkan hero ya,2,satisfaction,negative
sangat seru saya sudah mencapai glory sangat seru untuk dimainkan,5,satisfaction,positive
sudah beberapa minggu ini mobile legend dan magic chess agak nge lag padahal untuk yang lain koneksi aman lancar hape juta ke atas harganya juga,5,effectiveness,positive
game terbaik di dunia,5,satisfaction,positive
game tidak jelas tidak pernah di kasih beruntung untuk temanteman tolong jangan download ini game gamenya gj,1,effectiveness,negative
game gacha ampas masa dari bintang turun sampai di bawah bintang saat sampai bintang entah kenapa sistem gacha nya langsung ampas seperti sengaja sekali biar turun mending kuhapus ini akun mcggku sudah ganti comader hero dan beli comander hero lunox sampai bintang pun gachanya masih ampas sudah saya nyerah akun ku sudah kuhapus tinggal tunggu hari baru terhapus,1,satisfaction,negative
uninstal sinergi terlalu jomplang alias sudah enggak balance,2,satisfaction,negative
game ini bagus dan ramah bagi ponsel dan juga grafik nya juga hd dan juga selain itu memiliki fitur yang hampir sama dengan mlbb,5,satisfaction,positive
tidak dapat yang bagus hero nya,1,satisfaction,negative
grafiknya jadi kurung sama yang lama,4,unknown,negative
game mogic chess gogo buruk tidak setara sama komendernya,1,satisfaction,negative
game nya menarik di dalam permain nya banyak kombo makin menikat dari pada update yang lalu lebih bagusmeningkat namun saran saya tolong komender lawas di tikatkan lagi bos seperti tida berguna lagi supaya game play nya ada banyak macam di dalam game pelay nya dan tidak membosankan yang ada itu dan itu jadi malas main sekian dan terimakasih,4,satisfaction,positive
game tahi mending tidak usah banyak² sinergi kalau nyarinya susah begoo enak yang kemarin ini mainny seperti otrg tolol,1,satisfaction,negative
sulitt masuk ke akun yang sudah ada tolong permudah lah sudah kali membuat akun game konyolll,2,satisfaction,negative
musuhnya banyak cheaternya jadi malas baru kali pertandingan sudah langsung bintang ada malah bintang hero tidak masuk akal,1,satisfaction,negative
sangat bagus game yang paling worth itu buat di download jangan lupa download,5,satisfaction,positive
tidak jelas setiap mau ada hero bintang pasti susah dapatnya padahal deh lv malah enggak dapat dapat tidak jelas sudah jual ini itu malah dapetnya saat gold habis atau waktu tinggal sebentar,1,satisfaction,negative
bagus gampang di mainkan,5,satisfaction,positive
yang benar saja weh servernya kacauuu sudah berkali kali di announce perbaikan server tapi seperti enggak ada perubahan,2,satisfaction,negative
rolling tidak jelas kurang hero lagi biar bintang teh di tarok kemana padahal di shop masih sisa,1,satisfaction,negative
game rusak skem kuontoolll,1,satisfaction,negative
ʟᴜᴍᴀʏᴀɴ ᴀsɪᴋ ᴛᴀᴘɪ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴍᴀsᴀʟᴀʜ ᴅɪ ʀᴀɴᴋ ᴍᴀsᴛᴇʀ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴘᴇᴍᴀɪɴ ʏᴀɴɢ ᴍᴇɴɢɢᴜɴᴀᴋᴀɴ ᴄʜɪᴛ ᴊᴀᴅɪ ᴄᴜᴋᴜᴘ sᴜsᴀʜ ᴋᴀᴛᴀ sᴀʏᴀ ᴀᴘᴀʟᴀɢɪ ᴅɪ ʀᴀɴᴋ ɢᴍ ʟᴇʙɪʜ ʙᴀɴʏᴀᴋ ᴄʜɪᴛᴇʀ ᴋʏᴋ ᴍᴇʟᴇʙɪʜɪ ᴋᴀᴘᴀsɪᴛᴀs sᴇᴘᴇʀᴛɪ ᴋᴀᴘᴀsɪᴛᴀs ʜᴇʀᴏ ᴅᴀᴘᴀᴛ ᴅɪ ᴛᴀᴍʙᴀʜ ᴅᴀʟᴀᴍ ᴄʜᴇs ᴀᴛᴀᴜ ᴜᴘɢʀᴀᴅᴇ ᴛᴀᴘɪ ɪɴɪ ᴍᴇʟᴇʙɪʜɪ ɴʏᴀ sᴇᴋɪᴛᴀʀ ʜᴇʀᴏ ʏᴀɴɢ ᴍᴜsᴜʜ ᴘᴀᴋᴇ ɪɴɪ sᴀʏᴀɴɢ ʏᴀɴɢ ᴀʟᴀᴍɪ ɴʏᴀ sᴇɴᴅɪʀɪ ʜᴀᴛɪ ʜᴀᴛɪ ᴀᴊᴀ,3,unknown,neutral
sangat bermanfaat buat ngisi waktu luang dan menghilangkan stresss,5,satisfaction,positive
game satu ini favorite saya seru sekali,5,satisfaction,positive
di update terbaru ini sesion ada bug di mana comender lawan sering berkeliaran atau jalan di papan bort nya membuat pandangan tergangu dan menyebabkan lag,3,effectiveness,negative
tolong pisahin akun mlbb sama mcgg tolong sekali,1,effectiveness,negative
hero gold ampasss tidak bisa jadi hiper seperti dulu enjela imo saja bisa jadi hiper sampai let games,1,satisfaction,negative
game rusak pertandingan eror masalah yang tidak diketahui malah pringkat player cuman kenpa tidak di pertahankan bintang salah server yang rugi pemain sudah beberapa kali begini,1,satisfaction,negative
tidak jelas sinyal nya bagustapi di game jelek,1,satisfaction,negative
membuat game bukannya yang menggunakan skill malah menggunakan beruntung,1,unknown,negative
good job salam dari sena,5,satisfaction,positive
boleh tapi tolong adil,5,satisfaction,positive
oii game apaan login saja gabisaaaa,1,unknown,negative
game burikgame tidak jelassistem yang masih tentukan menang kalahpemainbuang buang waktu sama data saja,1,satisfaction,negative
sisa satu match tibatiba lah tidak bisa di pencet anehh,1,unknown,negative
kalau war suka enggak jelas padahal yang lebih gede saya saat habis waktu yang menang musuh,3,satisfaction,negative
game tooololl tidak beruntung beruntung saya merajuk tapi bohong,5,satisfaction,negative
serumengasah otak karena bermain strategi enggak seperti sebelah banyak dark systemnya,5,satisfaction,negative
gampang sekali ini game kasih musuh yang keras dong monton wkwk,5,satisfaction,negative
game adu beruntung bukan adu strategi,1,satisfaction,negative
tolong dong di perbaiki dikit saya sering kepencet jual hiro secara tidak sengaja,1,satisfaction,negative
mc go go makin di depan jangan lupo download guysss,5,satisfaction,negative
mending yang dulu lagi tidak sih min balikin soalnya menjalankan sama yang baru tuh memang tidak enak,1,satisfaction,negative
ok lah bagus mengisi waktu luang,5,satisfaction,positive
hai moonton tidak jelas buat game ini tidak bisa spin tidak ada event cuma dikit,2,satisfaction,negative
eror terus saat main,1,effectiveness,negative
main tiap hari kalah mulumentok di legend main lagi turun lagi sampai legend main lagi mentok di legend habis itu ya turun lagicapek tauuuu,2,effectiveness,negative
makin tidak jelas orang masa kali ketemu orang yang sama di tambah rolannya pun tidak jelas,2,satisfaction,negative
game rusak game sampah dulu ok lah buat hilang ini jenuh dan gameplay nya pun seusai dan fair sekarang kacau damage tidak ada hero lineup susah benar benar sampah,1,satisfaction,negative
sudah bagus sih tapi penyimpanannya loh guede,5,satisfaction,negative
suka enggak jelas hero mau bintang suka tidak muncul muncul padahal stok nya masih banyak aneh,1,satisfaction,negative
tapi masih kurang mantap nih,5,satisfaction,positive
dengan terpaksa saya harus hapus game ini sih you ini the next time,5,satisfaction,negative
game tidak mutu juara sudah di setting moonton,1,effectiveness,negative
sinya kadang tidak stabilsaat main,3,satisfaction,negative
tolong di perhatikan semakin banyak commander baru makin banyak juga commander lama yang tidak kepake kalah skil sayang deh top up banyak buat skinnya tapi tidak kepake hanya karena kalah skil sama commander baru tolong berhenti untuk memasukkan commander baru cukup membuat skinnya saja jika di lanjutkan mungkin akan ada beberapa persen player pindah ke game sebelah,4,satisfaction,negative
sistem ban comander nya jangan seperti begitu lah masa yang sedikit di ban tapi yang banyak tidak ke ban,3,satisfaction,negative
tolonglah moonton waktunya di panjangin dikit saat sudah late game mau bintang malah waktu sudah habis kerasa cepat sekali beda sekali kalau beruntung mah enggak apa-apa sudah roll an seret sudah di roll di lvl nya tetap tidak keluar hero yang kita mau,1,satisfaction,negative
kok akun punya saya tidak bisa di menggunakan padahal baru membuat,1,effectiveness,negative
malin kesini makin tidak jelas anjir,1,satisfaction,negative
game ini sangat bagus saya suka moonton perkembangan mu yang awal nya begitu begitu saja sekarang jadi luar biasa saya ingat saat baru muncul grafik nya jelek,4,satisfaction,positive
sangat sulit untuk mencari hero di tier mytic honor membuat saya stres dan ingin melempar phone saya,1,satisfaction,negative
game aneh blessing selalu dijauhkan,1,satisfaction,negative
karena saya di kasih gacha nan gero jelek,1,satisfaction,negative
mc makin kesini makin ke sana kenapa setiap update ada saja yang di ubah entah dari hero dan sinergi nya mskin gjls enggak enak seru sih tapi makin kesini makin enggak enak gold rush juga di ilangin padahal seru,3,satisfaction,negative
sudah bagus hanya jadi kurang bisa menikmati game karena terlalu cepat lebih suka ya dulu,5,satisfaction,negative
kembalikan magic chess yang dulu kami rindu yang dulu bantu like biar di acc sama moonton,1,effectiveness,neutral
main dipoco m kemarin sih mentok kanan sih medium ponsel sampai mau meledak panas,2,effectiveness,negative
ini game kalian harus cobain ini seru abissssss bintang lima buat admin,5,satisfaction,positive
kalau game masih beta tidak usah launching dulu slot mencari bintang susah sekali ini game ada riset calculation sama algoritma nya tidak persentase nya benar tidak bisa di prediksi terlalu random yang kluar tiru lah persentase seperti di dota underlord seimbang sangat sangat tolol game beta malah di publis terus setelah banyak keluhan baru pembaharuan harus nya montton nih mau kluar duit lah buat sewa jasa game tester agar game nya bisa di kembangkan lebih baik asli game sampah,1,satisfaction,negative
semoga dapat skin miya,5,satisfaction,positive
sistem gacha hero nya goblok,1,effectiveness,negative
game tidak guna sinergi enggak pernah keluar,1,unknown,negative
data adawifi menyambung tibatiba dalam pertandingan lag parahsetelah babak baru bisa lagi,1,effectiveness,neutral
heronya kadang scam tidak keluar,1,satisfaction,negative
rollnya ngacoo banyak cheater game ampass,1,unknown,negative
tolong ini game nya di awasin mas montoon barusan saya ketemu hacker saya bermain hayabusa assasin astro tiba² dc dan game nya ke ganti dan akun saya stuck di ingame enggak bisa keluar sudah berkali² relogin masih sama,1,effectiveness,negative
season malas main tidak seru,1,satisfaction,negative
lag sekali buat membuat kombo tidak bisa kebanyakan lag tba tiba menghubungkan kembali mulu,1,effectiveness,negative
sistem nya agak lain pemain ada kadang kalau deh di dalam game duel nya sama² itu saja padahal pemain nya ada,3,satisfaction,negative
kalau bosan main rank ya main mc gogo ngabisin waktu luang,5,satisfaction,neutral
tolong lah di perbaikimasa saya lagi main seru²nya comeback malah tiba² menghubungkan ulangpadahal sinyal ku tidak bermasalahpas lag buat buka wa sc tiktok bagus² saja,1,satisfaction,negative
saya main game ini dari awal saya enggak perna beruntung seperti yang lain padahal saya sudah main rol atas masih saja kalah tidak perna juara,1,effectiveness,negative
monoton membuat game survival open world dong,5,satisfaction,negative
kapan nih gold rush dibalikin lagi,4,effectiveness,negative
terlalu banyak kata yang di sensor tidak asyik,1,unknown,negative
game tolol akun saya hilang yet,1,effectiveness,negative
tolonglah kami butuh item starfall percuma ada hero gold kalau kalah lawan hero gold bintang keseruan bermain mc gogo ada di hero gold dari efek animasi dan skill tolong tambah item starfall untuk sementara bintang dulu,1,effectiveness,negative
bagus gamenya cuman yang membuat saya bingung mengapa saya mendapatkan kartu gogo card yang jelek terus ohmy,5,satisfaction,negative
gamenya sudah sangat bagus namun saya sarankan mcgg di tambahkan mode offline seperti di mlbb kalau bisa tolong masukin mode offline di mcgg nya,5,effectiveness,positive
main mcgg bisa membuat tenang main juga bisa santai,5,satisfaction,positive
hai admin kenapa mc enggak saya tidak ada mode praktis sedang kan strimer di tiktok ada mode praktis mungkin mode tersebut masih uji coba makanya saya belum bisa makek nya tapi untuk perilisan diserper global nya kapan ya saya mau makek juga,5,satisfaction,neutral
min tolong kembalikan magic chess yang dulu kalau tidak dua deh sama ini yang dulu di mengadakan lagi,3,effectiveness,neutral
kenapa setelah update tidak bisa login woy,2,unknown,negative
apasi kok baru saja main sudah ketemu yang poro,1,effectiveness,negative
tolong moonton balikin magic cess di ml kalau jadi game menambah menambah mbak,4,effectiveness,neutral
ngaaaacoooo rolnya tidak berpihak sama sekali pada pemain pemula padahal saya juga sudah keluar duit loh buat main game ini tapi masih sering lambat saat klik hero pilihan roll hero tidak pernah bagus selalu acakan sudah pernah ada permintaan maaf karena roll kacau kenyataannya tetap belum ada perbaikan sama sekali rasanya benar tidak ada bedanya sama chess yang lain sekali menang kalah beruntunnya bisa kali lebih karena rollnya kacau parah setelah kemenangan apa coba tujuannya seperti begitu,1,effectiveness,negative
kadang relog saat sedang bermain,1,satisfaction,neutral
masa comander di kasih demage sering kalah padahal kombo musuh nomor demage blum full tapi kalah gara di hit comander adu skill comander apa adu skill kombo game tidak jelas main bentar sudah jenuh bosan tidak asikudah cape mikir kombo baru malah tidak guna kburu di end tolong moonton di baca di apresiasi komen ku,1,satisfaction,negative
game rusa buang lah blesing tidak jelas dapetnya sama hero yang ditempatin,1,effectiveness,negative
walopun musuhnya jago tapi asik boleh,5,satisfaction,positive
mending magic chess yang lama dari pada ini,1,satisfaction,negative
berat benar yang sekarang nih,3,satisfaction,negative
game tolol jangan di mainin,1,effectiveness,negative
tidak bisa berkata kata ini game enak sekali,5,unknown,negative
meta roll bawah merasahkan bagus hapus saja hero dan gold sudah tidak penting di meta sekarang,1,satisfaction,negative
fatebox gajelasmusuh bisa dapat hero bintang seharga gold di level sedangkan saya cari hero gold yang di inginkan saja susah di level susah sekali dapat hero untuk sinergi yang lagi dibuat sementara musuh gampang mendapatkan hero dengan sinergi yang dibuat makin kemari makin busukbelum lagi sistem dibenahin sudah muncul commander baru yang makin tidak masuk akal skill nya kelihatan game ini hanya mikirkan player untuk membeli commander dengan diamond tanpa memikirkan untuk perbaiki sistem,1,satisfaction,negative
makin hari makin tidak jlasmasak comnader ikut ngehit jugalama seperti game sampah enak yang dulu saat sinergi stun masih ada,1,satisfaction,negative
tidak terima saya coc peringkat,1,satisfaction,negative
tolong diperbaiki lagi untuk dibagian notifikasi saat lagsudah stabil masih ada notiftidak bisa hilang dipaksa login kembali dan tidak bisa masuk ke dalam pertandingan kembali,3,effectiveness,negative
games tidak guna rugi main games ini tidak ada otak,1,unknown,positive
sistem busuk lagi dapat winning condition sinyal tiba tiba busuk padahal deh coba restart ulang apkinternet masih stuck dipakai buka instagramyoutube lancar padahal memang se enggak suka itu player lagi posisi menang,1,satisfaction,negative
tolong lah di optimal ini di tablet ukuran inc keatas biar tambah hd,3,effectiveness,neutral
lagi main tiba ada tulisan error terus kluar sendiri sekali masuk lagi kok sudah kalah padahal nyawa masih an terus story kalah nya tidak masuk akal sudah jelas main apa slot kok di story nya slot tidak jelas terus sekarang mau masuk tidak bisa lagi selalu stak di pertama mau mulai main sudah sampai tetap stak di situ,1,effectiveness,negative
plagiat tft dengan penuh ketidak seimbangan dan unsur pay tapi win,1,satisfaction,negative
moonton seperti nya tidak mendukung player di game ini sinergi nya kalau di kita tidak bisa apa² tapi kalau di musuh jadi op parah tidak tahu deh moonton buat game,1,effectiveness,negative
oi game lu tidak adil saya ngerol di lv tidak dapat haya sedangkan musuh di lv malah dapat game anzin,1,satisfaction,negative
diamond mahal permainan tidak fair sistem nya sudah di setting sedemikian rupa agar yang sudah menang di buat tidak beruntung cari hero main tidak terhibur diamond mahal semoga lekas bangkrut,1,effectiveness,negative
sinergi mage sama weapon master jadi anak tiri,1,unknown,negative
saya suka sekaliigame nya seru sekali,5,satisfaction,positive
makin kesini makin kesonoh payah ribet,1,satisfaction,negative
pokoknya gemnya bagus donlot sekarang,5,satisfaction,positive
banyak bugtiba tiba sambungan terputusharus relog baru normal lagi,1,effectiveness,negative
sekarang mangkin tidak jelas lebih seru season pertama,2,satisfaction,negative
bagus sihcma semenjak mc dipisahkan dengan mole banyak sekali perubahan mulai dari rank comender skil comendernya tidak seperti yang dulu ada tiga skil bahkan di revamp terlalu banyaksaran saya agar nyaman dan tidak bosan ganti sinergy barulah disetiap satu season atau dua seasonlah supaya penuh tantangan untuk player mcsekian terimakasih,5,satisfaction,positive
aamon nerf woygak pernah lepas nih,5,satisfaction,negative
permainan nyantai yang tidak membuat tegang,5,satisfaction,positive
tidak bisa log ini padahal sinyal enggak dan kuotaa bnyakkk hadeeehh kenapa habis update malah begini,2,unknown,negative
game santai tapi tidak santai keren,5,satisfaction,negative
bug koneksi nya tidak tahan tolong yang tegas,1,effectiveness,negative
najis game dark sistem kalau bakal di kasih kalah kelihatan sekali giliran menang dikasih lawan seperti bot tidak seru tidak ada tantangan,1,satisfaction,negative
game tolol fungsi tombak ziling yang nyebab ini freze buang saja hero musuh benar kena freze tapi kagak bisa di hit tolol,1,satisfaction,negative
sekarang malah sinergi tidak pernah jadi terus herony,1,unknown,negative
permainan hanya pakai atau beli diamond baru bisa menang game laknat,1,satisfaction,negative
makin kesini bukan makin seru malah benar benar seperti judi uji keberuntungan doang enggak ada asah otak have fun buat exsperimen makin sulit ya itu karena ngandelin keberuntungan doang,1,satisfaction,negative
tolong lah kalau bisa commander wanwan dihapus saja hama sekali ikut campur hero di line up saya rating dulu kalau sudah dihapus itu commander baru saya rating hapus commander hama miya wanwan tolong,1,satisfaction,negative
mohon buatkan mode practice overall semuanya sudah bagus,5,satisfaction,positive
developer tolol soal sistem matching sistemnya seperti babi dari segi sinergi hero sampai health point saja saya paling bawah malah dilawanin sama yang health pointnya masih sinergi sudah bajingan tolong rombak lah sistem bagian ini jangan dibikin acak atau sesuai urutan terus bagian item magic crystal sama blessing dropdapetnya jangan random juga lah tidak adil sekali sama lawan yang dapetnya selalu saat sudah mah saat di fate box dapetnya sisaan di babak creep juga dapetnya item ampas,1,satisfaction,negative
sudah cukup bagus tapi mohon perbaiki bug apabila menyimpan replay gameplay sendiri malah hilang sendiriterkadang ngefresh tokony hoki² an saja padahal persenan keluar gold bintang herony tersebut sudah paling besar tapi tetap saja ngefresh kali tetap gadapat² padahal stock herony masih ada ini kejadiannya sudah berulang ulang saya dapati,2,satisfaction,negative
saya belum download data gamenya saja sudah lag parah woi sampai black screen beberapa menit,1,effectiveness,negative
game ini sangat cocok untuk sambil makan dan sambil menonton tv,5,satisfaction,positive
saya sekarang sudah merasa lebih old karena saya main dari sih,5,unknown,positive
game enggak jelas drop rate hero di shop gajelasss,1,satisfaction,negative
sama seperti saudaranya kemenangan dan rank tinggi bukan dari skill melainkan dari keberuntungan dan juga keberpihakan semoga kedepannya semakin sepi peminat,1,satisfaction,negative
kok jadi di pisah jelek ah,1,satisfaction,negative
penyakit mc gogo gila,5,effectiveness,negative
kumooohooonnn admin atassii segera masa saya login selalu kesalahan koneksi harap coba lagi padahal sinyal mencapai mbak tetap saja r isooooooo kepengin main lagi nih,1,effectiveness,negative
kasih pemahaman lebih tentang combo,5,unknown,positive
kocak amat ini game bisa memakai cit bjir aowkwkwkwk,1,satisfaction,negative
suka rilok sendiri tolong game perbagus,2,satisfaction,negative
serius game membuat nagih penasaran seperti catur menguras otak mantap yang membuat ini game yang kasih rating jelek pasti kurang dalam berpikir dalam tindakan ibarat main catur moderen kalau kalah masa merengek,5,satisfaction,negative
tolong lah itu ruby di mode magic rune nerf lah moonton apaan hero seperti begitu tidak bisa mati lifesteal nya tidak habis habis sekali muter langsung rata kalau seperti begitu mah sudah tahu siapa pemenangnya dari awal anjing,1,satisfaction,negative
tidak bisa fusuyon saat dibeli pemainya dipertandingan mulai,1,satisfaction,negative
mana vs nya mooontooooooonn,2,satisfaction,negative
tolong nerf gord permainan jadi tidak seimbang terlalu sakit masa satu hero bisa ngeratain hero jadi tidak imbang,5,effectiveness,negative
kerenapalagi mode rush royale,5,effectiveness,neutral
bagi saya ini game sampah buang waktu dan uang ingat nya ini bagi saya bukan anda mata rabun kurang tidur hilang ingatan ketika saat waktunya mendengarkan suara azan jadi lupa dan enggak kedengaran bjir gara game ini,1,satisfaction,negative
oy ton saya menggunakan comannder lunox itu berharap bleseing nya salah ini blesing saya lebih dari kali bahkan sampai nolan tetap ke eru semua kocak coba saja kalau saya menggunakan comannder lain pasti blesingnya samping terus wkwkwk kocak ton ton,1,satisfaction,negative
menang dan kalah terlalu di seting sama montoon bintang bintang memang masa hero masih ready banyak mau up bintang saja susah nya seperti n saja ng slot mencari kaja bintang saja sampai habis gold n saja n memang sih montoon,1,satisfaction,negative
game nya sudah bagus perfect tapi tolong kondisikan lah itu commander jhonson ya pasti auto win kalau lawannya itu,5,satisfaction,negative
game kintil sehabis nomor setelah itu selalu nomor lama lama makin tidak jelas cok,1,unknown,negative
sudah cukup bagus cuma updatenya doang yang keseringan dan masalah sinerginya jugagak masuk akalharusnya digampangin deh ada yang bisa tapi tidak pernah kena cuma doang,5,satisfaction,positive
seru tapi kok legend nya sampai tidak seperti biyasanya cuma sampai,5,satisfaction,negative
perfect sih asik asik saja banyak player yang kangen mode nostalgia sekarang sudah di rilis kalau player ngeyel kangen kangen mulu biarin deh di semua game pasti selalu kangen moment nostalgia jaman old apapun itu game nya mcgg juga kayaknya masih belum jelas ini moonton mau gimanain yang penting asik deh yang kurang itu fitur skill comander nya tuh doang jir terus mengadakan seperti clansquad begitu lebih bagus membuat menggunakan magic coin saja biar enggak usah topup cuma buat membuat squad,5,satisfaction,positive
game ya seru banyak ifen yang menarik walou tidak dapat skin,5,satisfaction,positive
ok bisa buat ngilangin bt,5,satisfaction,negative
perpanjang durasi sebelum war pak,3,effectiveness,neutral
ei montoon kenapa enggak ada benedetta di mcgg,5,satisfaction,neutral
akun magic chess yang dulu menghilang gr gr yang sekarang padahal dulu masih bagus akunnya bad game bintang,1,satisfaction,negative
lebih suka megic cheese yang dulu sehubungan dengan ml dari pada pisah jadi ngumpulin duit atau bpnya susah,1,satisfaction,positive
nerf eruditio pliss meresahkan terutama natan bintang saja tidak ngotak gold yang lain tidak ngelawan,1,satisfaction,negative
loding terus tidak bisa main,1,unknown,negative
tolong lebih di optimalkan lagi server nya beberapa kali main game nya nge lag dengan kondisi koneksi yang lancar dan harus di reload untuk bisa jalan lagi dalam game bisa berkali kali buat reload dari dulu server moonton tolong lah benerin,1,effectiveness,negative
sinyal gampang lag ini permainan beruntung sistem permainan kurang adil,1,satisfaction,negative
hiburan kalau bosan main rank,5,satisfaction,negative
saya suka mobile legend tapi lebih suka magic chess lucu saja enggak begitu memerlukan emosi jadi mengurangi dosa untuk tidak berkata kasar hahaha,5,satisfaction,positive
dear developer mcgg tolong untuk manajemen konten bagian download data bisa diatur tanpa download semua data di mcgg terima kasih,3,satisfaction,neutral
setelah update malah bug koneksi lagi main putus putus tidak jelas koneksi pakai starlink padahal,1,satisfaction,negative
menambah bapuk dengan sinergi yang tidak jelas enakan yang dulu,2,satisfaction,negative
bug jonny tidak mau nabrak,1,effectiveness,negative
aplikasi rusak sudah ngerol hero di persentase tertinggi hero nya tidak keluar padahal stok masih banyak bukan sekali dua kali sudah berkali kali seperti ini mending lu perbaiki itu deh kocak kocak,1,effectiveness,negative
terlalu banyak event tidak berguna harusnya pokus buat tingkatkan pengalaman bermain,1,satisfaction,negative
buat gameplay bagus asik juga tapi masalah nya pada waktu sebelum war nya sih agak kecepetan jadi agak sulit buat nentuin strategi ya saya juga mau bilang waktunya di tambahkan seperti di mlbb kan waktu nya agak lama tuh jadi di tambahkan saja seperti detik mungkin ya begitu saja maaf tidak jelas terima kasih buat game nya sekian adios,4,satisfaction,negative
tolol memang ini game memperbaiki lagi sistem nya masa paki hero harley dapat bukan sinrgi yang di mainin aneh di ubah apa saya ngstack di legendgara dapat hero sampah bukan nya dapat hero sinrgi yang sama malah dapat hero lain,1,satisfaction,negative
mcgg mengkonsumsi daya baterai lebih banyak daripada mlbb tolong perbaiki ini tidak efisien karena boros daya rank juga tidak seimbang angka romawinya tidak dicocokkan,4,effectiveness,negative
mending tidak usah update apa sinerginya baru op sekali rusak,1,effectiveness,negative
harga the observatorygacha skin legendcolectornya di naikin kali lipat tapi dapatnya di turunin jadi skin epic tidak ngotak memang sebelumnya game dapat skin herochessboard colector sekarang dptnya skin chessboard epic gwe auto pensi mending nunggu chess rush hok kalau begini,1,satisfaction,negative
sangat tidak cocok dimainkan masa cari hero yang dipengen susah sekali mana sudah habis banyak gold gadapetdapet naikin woi persentase hero harga nya,1,satisfaction,negative
server masih sering eror pelayanan customer servicenya jelek lambat saya beli diamond sudah seharian tidak masukmasuk tidak ada tanggapan dari customer service developer tolong diperbaiki ngerugiin orang seperti begini,1,satisfaction,negative
main nya mikir atur strategi meleng dikit ya kalah,5,effectiveness,negative
baguskapan turnamen season diadakan saya mau ikutsoalnya saya sudah mistik dan mau sekali,5,satisfaction,positive
game ok cuma saat mau ke ini game malah relog tolong dibetulkan tindakan ini sangat membuat kesal,2,effectiveness,negative
optimalisasi lagi dong gamenya monton nih game masih agak lag di ponsel saya heheh,5,satisfaction,negative
enakan yang dulu kocak,1,unknown,positive
game nya macet² tidak jelas kebanyakan event² tidak jelas,1,unknown,negative
game apa di atur beruntung,1,unknown,negative
aplikasi bego sementara main malah lag padahal ping bagus kocak,1,satisfaction,negative
gamenya seru grafik bagus tapi dalam hari terakhir terjadi error dan tidak bisa dilanjutkan matchnya sampai kehilangan bintang mohon respon nya agar kami dapat melanjutkan perjalanan season ini,5,satisfaction,negative
game tidak imbang rollingan kacau banyak nerf tidak guna roll atas dibatasi enggak bisa menjamin,1,satisfaction,negative
saya sudah uinstal donggngapain memiara game beginian tidak ada ssik asiknya,1,effectiveness,negative
tolong di sesuaikan lagi moonton dengan blessing harusnya,2,effectiveness,negative
game tolol skem burik lol minus iq,1,satisfaction,negative
masa saya epik dilawan sama lejen sama mitik tidak imbang sekali,1,satisfaction,negative
