content,score
"ehh moonton aku main mcgg kanapa blessing ku selalu yang ga ku mau bang harus pindah berapa kali bah , sedangkan orang lain sekali blessing langsung dapat blessing yang dimau tolong aku hehe he ha. aku gapernah hoki tah",3
"semenjak MC menjadi aplikasi sendiri, dah malas kali main.. lebih seru ketika gabung ML",1
Susah bgt Ganti akun aja ga kaya mlbb nya nyusahin ni game buat ganti akun doang dengan embel embel biar aman malah jadi susah!!!!,1
"game ampas paling bikin jengkel, diputer salah gak diputer makin salah. gak nongol yg dibutuhkan, janganpasang game ini.. bikin gemes, emosi, jengkel",1
update taek ton montoon,1
cukup mengesankan,5
aplikasinya sangat bagus sangat memuaskan menantang co mampir ke Tik tok @Azis gemingggggg😁😆😆😆🤭🤭,5
pusing main ml lebih baik mcgg aja,5
tolong ya moonton jaringan nya d perbaiki lagi ya masak detik2 terakhir mau menang tiba2 ngelag harus relog dlu baru bisa gak jdi menang akhir nya tolong nya moonton,3
GAME TAEK!,1
"Mantap! Magic Chess: Go Go terus update hal hal baru dan berinovasi terus, ditunggu ya!",5
"Makin bosan main karena sudah tidak ada lagi combo kangkung, jadi saya kasih bintang 1 saja",1
"bug akun mcgg, akun ML kena hack gara gara bug mcgg yg setiap kali login dpt akun yg beda beda, sial sialll akun ML gua kena Hack",1
update kali ini gagal stok hero dikurangin gimna mau rotasi,1
ok buat adu mekanik di line,5
"gamenya bagus tapi setelah Mach ga kayak ml ga bisa liat profil musuh cuma bisa liat profil temen kurang asik mohon di tambahkan fitur itu ya king, soalnya gw mau pamer win rate gw sama bisa chat juga soalnya gw di olok olok mulu",4
gem sampah jangan di donlod ga adil sistem ny curang,1
bagus 👍 tolong moonton peropil nya di bagusi lagi,5
"game ini sangat kurang sekali dari segi jaringan, yang mana game ini harus memakai jaringan yang sangat lancar dan cepat, sedikit saja memainkan game ini dengan jaringan lemah atau kurang stabil maka akan sangat lag yang berkelanjutan dan akhirnya saya di kick dari game dan harus re-login lagi. TY",1
sangat membantu waktu luang,5
game nya bagus wkkkkkw,5
game strategi yang sangat bagus,5
setelah di update malah jadi sering bug jaringan. padahal jaringan ku aman. mohon diperbaiki itu sanggat mengganggu kenyamanan bermain.,3
"game bnyak cheat, gk masuk akal hero gemuk"",naikkin slot cpt tpi goldnya bnyak. ah elu aja yg gk bisa main? makin menjadi hoki gk kira"" yg bnr aja montong",1
"sering banget menghubungkan ulang, padahal buat apk lain lancar2 aja",4
game bagus,5
sangat bagus game nya,4
"monton coba dah tarz di nerf abis""an aneh huh",5
dari magic chas sampe ke go go chas kebanyakan drak sistem..,1
nguras kuota jelek,1
"game burik jelek , matchmakingnya jelek, sering lag, nyesel download",1
"moonton gak karuan , sekali nya menang cuman 1 bintang dan kalah 4 bintang, terus Hero nya kalau sudah dapat combo tapi gak ada di refresh toko nya game haram, moonton gak ada feedback balikk",1
"GAME YANG MEMBUAT JENGKEL TIDAK NYAMAN UNTUK DI MAINKAN, PERMAINAN TIDAK SEIMBANG BANYAK DARK SYSTEM",1
season paling g seru anjir,1
mantap hiburan dikala sedang kerja,5
magic kristal nya gak sesuai terus setelah memilih Hero di awal,1
apk bagus buat yang lagi gabut,5
seru bangetttt,5
kasih gua main hoki,5
"game bagus,bikinin mode offline nya dong biar banyak peminat na🙏",4
Goo 🚀,5
session ini tdk masuk akal di Rank,4
"masih aja tidak bisa pilih sendiri download datanya, tidak bisa dihapus juga download data yang tidak diinginkan.jelek bangetbgame ini,hapus aja cari game lain",1
"GA NGANDELIN OTAK, NGANDALINNYA HOKI. GAME JUDI HARAM",1
"tambahin stok hero gold 4, kena scam mulu dah,udah slot atas tapi roll2 anya seret bet",3
"dalam hati yang dalam tolong buat developer mcgg atau vista games jangan suka ngeprank player lah co, gw udah 2 kali di mode gold Rush ini diprank 10 eru mulu, jadi tolong buat developer mcgg jangan suka ngeprank lah ga lucu kocak",1
"game apa ini keseimbangan sama sekali tidak ada, hanya permainan sistem saja, tiap laporan ke CS tidak pernah ditanggapi, buruk sekali.. kejanggalan banyak, hanya ingin meraup untung yg beli pakai uang baru di utamakan...",1
mnatap,5
game nya udah asik dan santai bisa di mainkan saat istirahat kerja yang bikin kurang menarik cuma event nya ampas,3
awas guis game ini bisa gila,1
game ga guna sinergi gapernah keluar,1
"ini game bagus tetapi kenapa banyak sekali bugg nya seperti login tapi tidak login ke permainan, saya login kembali login lagi hingga terus menerus. kenapa saya kasih B5? karena saya ingin ulasan saya berada di atas",5
apalah tiap kurang 8/10 mesti kalah(kasih franko moonton),5
terus kembangkan MCGG sukses,5
I really like Felly,5
"game nya seru, tapi tolong tambahin fitur mode offline,karena mobile legends ada mode offline makanya MCGG ada fitur offline biar seru",5
good luck,5
monton pelit gagal mulu perfect sinergy 🗿,1
"setelah update , loading lama ekstra data ga beres beres di device redmi note14 pro",2
mulai aga lag,4
saya main mc dari season 1 pas aplikasi terpisah sya download apk mcgg ternyata mulai awal lagi sia2 main dari season 1 sudah banyak terkumpul skin dan comander ...auto unistall,1
"Hey Moonton, give me back my Season 1 account! I only took a one-month break, and now my account turned into a bot account—this is so frustrating. It should’ve stayed the same as before, but when I logged in again, it was gone and replaced with an empty account.",3
gamenya sangat mantap,5
kebanyakan yg -kreatifitas,2
makin seru walau ad sdikit cepat di waktu,5
"Game rusak udah update tetap aja ngeleg Mulu, jaringan lancar padahal.",1
"min, saran untuk diadakanya leaderboard magical run, karena kan itu ada ranknya ya, sayang banget kalau ngga ada leaderboard, sudah ada leaderboard untuk tag tim dan rank, harap saya ada penambahan leaderboard untuk magical run",5
persentase mendapatkan heronya tidak akurat,1
"ini yang bikin ulasan emang udh rank apa?? minta ini minta itu.. main jga meta hama lu wkwk. Untuk montoon, great man.. game lu udh bagus. Dan itu aja",5
coba kasih nerf itu comander Karina sumpah comander paling haram,1
"ini game apa judol si, bikin stres",1
"kukira game chees tu game game strategi tapi yang ini malah lebih ke hoki hokian + baca situasi doang, selebihnya aku cuma suka efek satiffying nya aja pas jadiin hero ke bintang 3",3
"makin gak jelas,banyak cheater",1
"game cacat,bukannya malah bagus malah kebnyakn bug",1
"tolong hilangkan fitur ngasih liat jumlah hero ke musuh, yang bisa di arahkan jdi musuh bisa kasih tau ke musuh lain jumlah hero kita.. jdi ga seru main lylia klo di gitukan min benci bgt",2
ini keren,5
game gak jelas. kalah menang semua sudah di atur sama montoon,2
eru tolong di nerf ya jangan dikasih enak terus Hero nya sih yang harus dinerf jangan nerf sinerginya gaguna,1
heronya unik unik dan saya selalu menang disetiap pertandingan aku udh epik mau lanjut ke legend terimakasih,5
mengasah otak buat strategi,5
TOLONG FITUR MELIHAT LANE MUSUH DI HILANGKAN PERCUMA ATUR STRATEGI KALO DI INTIP ORANG.. PADAHAL GAME STRATEGI,1
pls moonton balikin magic cess di ml kalo jadi game nambah nambah mb :(,4
keren bagusss,5
makasih,5
yang jadi masalahnya adalah yang diban tidak sesui dengan yang di vote,4
bikin puyeng pala rambut saya nyampe rontok,4
permainan yang sangat mantap sekali banyak pilihan permainan nya asik banget untuk di main kan,5
game catur Ter bagus menurut ku 👍👍,5
"gamenya delay parah, masa udah naruh hero di chessboard pas udh fight malah gajadi ditaruh",1
Game santai yg paling enak 🔥🔥🔥,5
eru 9 roll banyak kali gak muncul jhonny eru,1
tolong lah masak lagu nya pas kelong sama di area pertempuran ga bisa di matin bikin ceper nguras batray aja dan bikin para player pada risih dan ter ganggu aja tolong la depevelover kamini ku kasih bintang 5 kalau masih ada kendala di gamenya bakalan ku kurangi bintang 5-0 dan mungkin aja bakal langsung ku hapus,5
"update gak jelas, pake comender Aurora udah sulit makin dinerf lol",1
asik wak,4
game bagus pokoknya game paling juara yg ada di dunia monton baik soalnya,5
bagus sih game nya grafiknya cukup bagus cuma skin commandernya aja agak jelek tolong diperbaiki lagi moontoon,4
knp setelah update gak bisa login woy,2
game kentang bodoh kali buat game,1
"susah dpt hero yg sinerginya sama, malah bnyk dkasi hero lain anj.",1
busuk,1
"Dark sistemnya lebih ga ngotak sihh,80gold roll atas ga dapet franco padahal 1 lagi naik bintang tigaaa",1
woiii moonton adain lagi gogocard Lone wolf!!!,5
"Toxic game, Uninstall!",1
padahal ram nya masi banya yang kosong eh malah kalo main yang lelet lah yang ngelag lah ngeframe lah tolong di perbaiki lagi game nya ini rating nya pun jelek kali bintang 3 game apa ini,1
okkk,5
"Game yang sangat membosankan,tidak jelas",1
game yang bagus,5
bagus dimainkan enak,5
"game bapuk rol 50 gold gak dapet 1 bijipin harga 4 sesuai,pdhal di9",1
best strategy game,5
game ini sgt asik,5
masih nge lag nge lag,4
awalnya bagus tapi makin kesini makin pusing hero gk dapet2 main eru kurang 1 hero gk muncul kasi hero itu sesuai sienergi dong masa main eru keluarnya dautles,1
game otak,5
ga ada suaranya Cok main macam orang bubu,1
Parahhhh banget sumpah game ini kayak sampah tidak mobile legend tidak magic chest sama saja bikin orang emosi/marah masak di magic chest gua tidak menemukan hero yang sama untuk menaikkan bintang dan item nya cuman sedikit sedangkan lawannya full bintang 2 dan bintang 3 dengan cepat itupun lawan nya sudah mendapatkan item. tolong diperbaiki lagi pihak moonton yang terhormat. terpaksa game ini gua uninstall. Terimakasih.,1
"seru banget ,mengasah kecerdasan otak",5
"balikin magic chess kya dlu lagi, ga usah pakai aplikasi tepisah sama mobile legend,",1
"game ga adil musuh udah pada B3 gw masih B2 nya cuma 3,aneh bet ga dapat sinergi yang pas,udah gitu heronya acak lagi beda beda sinergi,aneh bet gmna mau level up kalo gitu, walaupun udah ganti sinergi berkali kali tetep ga ada yang pas, soalnya setiap muncul ga ada yang sama, meskipun udah ganti sinergi dan Hero,taik lah",1
"awalnya sih bagus dan enak dimainin tapi setelah memasuki season baru commander b3 saya hilang 1,udah itu banyak hero dan sinergi baru malah bikin pusing.Uninstall aja lah.",1
"semua sinergy bisa cocok jika di imbangi dengan comander yang sesuai juga,, sampai begini sudah bagus sih, cuman kalau bisa Hero Gatot kaca bruiser jangan di hapus dong...yu Zhong kurang rekomend buat akhir push rank 1vs1",5
untuk magic chess gok gok ini tolong anu ya udah,5
"woi ajg kalo update yg bener dikit jangan lu gede""in roll bawah, Setiap update nguntungin roll bawah Mulu lama"" sepi ini game, sekarang user roll atas juga udh pada males maen.",1
game buriiiiik,1
gak pernah menang,1
Banyak in event gratis moonton,4
game yang bagus untuk mengisi waktu luang,5
"saran dari saya mah cuma 1,yaitu bisa liat profil orang lain,oke terima kasih semoga bisa di perbaiki, soalnya kan kalau ada pp cwe cantik gbsa ngeliat jelas😁",4
gampang dan enak,5
sangat seru banyak mode dan hero baru dari yang lama+gameplay yang lumayan cuman developer plis tambahin mode offline 👍,5
game babi masak gw pakai moskov B3 Natan B3 Nolan B3 sama 13 eru masih kalah lawan 10 ember rol bawah,1
game yang sangat sesuai dengan orang yang suka mengatur strategi dalam permainan,4
bagus banget buat yg suka strategi,4
ini kenapa stuk mulu di loading screen dah tolong lah,1
game gak mutu juara 1 udah di setting moonton,1
pertahankan kualitas visual dan size yang ideal agar lebih menjangkau bagi user dan daya minatnya,5
"game bergantung keberuntungan, pada saat lagi ngatur combo sinergi mana yang cocok malah ada sepuluh sinergi, 10 sinergi itu baik tapi pada player lain pada hoki ,dan mengulangi game agar dapet 10 sinergi tapi di ggc malah dapet lain dan di pat box malah di ambil player lain. waktu yang diperlukan untuk mengatur strategi, sebelum tusun duluan malah singkat baget, membuat player banyak yang kesal karena itu mohon monton waktu yang diperlukan di perpanjang. Karena itu membuat player jenuh .",1
semoga dapet hadiah hp🙏,5
"tolong untuk fitur ""intip"" / ""melihat line up lawan"", dihilangkan saja. karena membuat ketidaknyamanan dalam bermain. atau diberikan batas maksimal saja. misal boleh 2x mengintip. terimakasih",2
kurang nyaman.,1
a game that requires smart thinking but please balance your opponent's game with fair cards,4
terlalu banyak BUG..!!!!!🥴🥴 sudah gamer lain pada curang ditambah permainan sistem yng sangat nyata terlihat berat sebelah,1
bukannya balance roll bawah mlh tmbh ga ngotak,1
game gak jelas . ketika hero di butuhkan malah gak di kasih. .,1
wenak wenak poll,5
"game dongo, nyampe mitik 30 turun sampe lejen, roll shop nya kek tai,",1
"akun gw di bikin busuk terus bayangi lostreak 1bln lebih,rata rata juara 8 ga pernah juara 1 meskipun di kasih lawan bot tapi di kasih musuhnya yang terlalu hoki selalu kalah dpt posisi ke 2 lanjut main lagi langsung juara 8 lagi main trus ketemu bot kalah posisi 3 atau ke empat seterusnya gitu sistemnya sangat tidak waras padahal saya jarang main tapi selalu kalah mulu ga pernah menang ga pernah hoki sekalinya hoki musuhnya ternyata lebih hoki emangnya ada yang salah ya sama akunku??",1
"geme apalah tlol banget ping bagus tapi di geme gabisa dipencet,tolong perbaikilah",1
"INI RATING TIDAK AKAN SAYA NAIKIN KE 2 KALAU KAU MOONTOON NGGAK NGASIH ROLL SESUAI DENGAN LINEUP SAYA, SAMPAI SAYA NAIK KE GLORY",1
gausa kasi bintang satu lah kocak cupu mah mending gausa download,5
GAME BUSUK,1
"permainan yang sangat seru, saran kalau bisa banyakin event event yang ada misi dapat seuatu yang gratis🫡",5
LOSHT,5
woi kasih logika dukut tim developer,1
"kaya di setting yang akan wing, susah dapat Hero yang di butuhkan, sinergi yang di mainkan tidak ada di pembelian Hero, susah dapatnya, apa lagi pake Jhony, udah nyata pake sinergi yang di mainkan, malah si Jhony yang muncul sinergi lain, nanti muncul kalau hp commender sisa sedikit. orang lain bintang 3 kita masih bintang 1 ngakak dah",1
apa gunanya vote untuk banned klo sistem yg banned sendiri vote tanpa berdasarkan vote terbanyak yg mau kita banned? kan lucu,1
"update kali ini patch 04.1 terlalu susah untuk roll atas, jadi kurang seru, sekarang ku kasih bintang 1 mengecewakan 😵",1
GAME RUSAK GAJELAS,1
game eek,1
game apa ini GK di kasih Hero ya Mulu pilih kasih moonton,1
"tolong beri opsi bisa gak download semua data,hp ketang relog mulu",1
"BAD GAME, MYTHIC 100 UNTIL 50 (DUMB CARD) DAMAGE COMMANDER TOO HURT (20++ DAMAGE IN EARLY/MID GAME???",1
"saya pakai commander thars, tapi di kasih heronya ngacak, padahal ada Hero harga 5gold, tolonglah di perbaiki. saya sangat kecewa💯",1
🥰,5
sistemnya kek binatang,1
BRO DENGERIN GW MOONTON update nya makin sini makin GJ Perbaiki update gagalnya HERO HARGA 4 MALAH DI KURANGIN JADI 13 TADINYA 15 ITU MAKIN SUSAH BAGI KAUM ROLL ATAS TEMEN² GW PADA DI HAPUS MC GOGO NYA,3
game hanjing,1
gem ini sangat bagus da,5
"🇬‌🇦‌🇲‌🇪‌ 🇸‌🇦‌🇲‌🇵‌🇦‌🇭‌ yg belum kasih rating, silahkan berikan bintang 1",1
males lah masa abdet mulu,1
game bikin stress admin nya juga stres,1
game perusak,1
"game aneh, shop nya di atur biar Player ga bisa menang, cacat game nya",1
lebih adil,5
gak jelas setiap main 1 sinergi ga pernah dikasih mulu heronya emang kon,1
"game yang buruk...sangat bergantung kepada keberuntungan terutama saat refresh toko.. sangat sulit menemukan sesuai sinergi.. lebih baik gunakan waktu kepada hal yang lebih positif,, woi mengapa respon saya tidak di balas?",1
"makin bagus, karena di update yang seperti permainan kama",5
woy muntun update lu GK jelas ktllllllllll,1
bisa tolong jelaskan sistem dapat heronya bagai mana? hero masih banyak tapi di gaca sampek habis gold tetap ngk jumpa.. ada akun kawan setiap gaca jumpa.. apakah ini masalah akun m. anak mas monttot apa cemana... broken ni game makin lama,1
"gak seru, lebih seru magic chess yang dulu",5
ngak ngotak,1
game cuma modal hoki,1
lebih bagusan pas gabung sama ml kalo di pisah bug nya banyak,1
baguslah,4
swring ngestack di loading trus,1
sy suka geme ini mantap,5
tolong di bagusin lagi masalah lag nya.. dan jgn di buat susah untuk cari hero yg sesuai line up,5
(⁠☞⁠ ͡⁠°⁠ ͜⁠ʖ⁠ ͡⁠°⁠)⁠☞gem nya sangat seru(⁠✧⁠Д⁠✧⁠)(⁠✯⁠ᴗ⁠✯⁠)(⁠⌐⁠■⁠-⁠■⁠)(⁠⌐⁠■⁠-⁠■⁠)[̲̅⁠$̲̅⁠(̲̅⁠ ͡⁠ಠ⁠_⁠ಠ⁠)̲̅⁠$̲̅⁠],5
Saya sudah bermain sejak masih di aplikasi mobile legend jadi ya better bagus sama sama menyenangkan,5
kenapa selalu di setting untuk kalah saat pertama kali naik tier,1
"Game rusak super rusak ga berpihak setiap main, selalu ngandalin hoki berasa main judi sumpah buat yang belum donwload mendingan jangan donwload deh soalnya ga berpihak sama sekali setiap main, musuh dapat yang over power sedangkan saya cuma dapat kalahnya aja!!!",1
sangat tidak memuaskan karna ada bag membuat sayah tidak bisa mengontrol game sayah,1
bisa benerin syztem yg nabrak lawannya ga masa bisa ketemu 2 kali di satu vase kan aneh dongo,1
game ini sangat bagus seperti mobile legend saya memberi game ini bintang 5 karna sangat bagus karna saya sudah bermain mobile legend di hp saya tetapi ini hp adik saya lalu saya bilang sekali lagi game ini sangat bagus terima kasih🤗🤗🤗🤗 moonton tetap semangat aku memilih evos semangat evos,5
awal main dari sesason 1 aman aman aja tapi saati ke season 2 lag parah dan kadang keluar dari game sendiri.. suhu hape juga cepat panas gak seperti biasa nya..,1
mantep sih pokonya,5
game ajg kebanyakan update bb,1
kenapa game ny gak bisa login,5
blesingnya perlu diupdet,5
game nya g mndukung susah g sport hp ku,3
kalo bisa kasih mode offline nya moontoon,4
gamenya bagus walaupun sama dengan ml BB tapi game tetap seru,5
"geme bagus barusan saya menikmati permainan, disaat waktu lunang",5
"gara gara ini game hp gua malah restart Mulu,hp yang satu lagi malah mati total. system bug parah. mending tutup aja ini game",1
ok aj klo d kasih gacha herony enk,5
tolong kalo bisa toturialnya di hapus ya kalo bisa skip gpp,5
game asuuuuuu,1
knp pas balik dari advance server malah download ulang data,4
main tiap hari kalah mulu.mentok di legend 6 ..main lagi turun lagi sampai legend 8...main lagi mentok di legend 6...habis itu ya turun lagi...capek tauuuu,2
"Seru, stabilkan sinyal nya saran saya",5
"game rusak,, sistemnya jelek selalu dikasih kalah tolol",1
"Game aneh,ada bug GK diilangin malah dibiarin,Hero gw 2 biji full item tiba tiba ilang,kalo kejual item nya kan masih ada,lah gw Hero+item hilang semua yang bikin gw kalah, developer GK niat bikin game",1
main ini tiap hari,5
sangat cocok,5
monton kikir gw dah hbis bnyak DM buat spin tapi GK dapet dapet emg on ol,1
"game tolol, gajelas",1
"setiap main ngefrem parah dan harus reloq pas sdh masuk malah mati gimana mau push setiap kali main pas mid game harus reloq,dan tolong data dalam nya jangan otomatis kedowlaod soalnya buat ngefrem doang",1
Game gak jelas dapet Cristal susah game kikir tolo bego,1
"game nggk jelas dari level 1 sampai level 10 nggk keluar"" hero nya udah gamenya sering lag lagi",1
Game ini keren,5
"gk pernah selalu kasih hero mahal b3 Player lain gampang nya b3, role rolean ya gk seimbang apa yg kita mau gk selalu dapat, selalu kalah sama Player lain yg gk jadi sinergy ya",1
search matching nya lama banget sampe 7 menit blum dapet dapet,3
kenapa habis di update Gk bisa di buka...?,1
game jelek kaga ada fitur jeda pengunduhan.,1
game ytm padahal ga ada yang main x borg tapi stock nya habiss yatimm,1
Tolong ditingkatkan lagi untuk keseimbangan game.,5
Setelah upacara jadi black screen,2
game nya dark sistem udah slot 10 Hero 4 gold susah banget nyarinya padahal udah saya cek juga masih banyak heronya,1
"gua udh lvl 9 nyari minotour buat di b2 in malah ga dapet dapet, untung hoki ttp menang 😊",1
"saran, tampilan saat masuk ke pertandingan dibuat lebih menarik.. misalkan para comander terbang menyusur lorong waktu, atau teleportasi biar lebih keren 🔥",3
nyawa sekarat dikasih lawan gk sepadan,1
ga cocok soalnya bikin stres,1
tolong lah hilangin komander jhonson kalo ada mode gold rash bikin gak seru main,1
"Woi matching nya gk jelas ah, masa gw di tag tim msuh tinggal 3 tapi gw yang dihadapin mereka Mulu, mereka gk pernah ketemu, lawak ah, jadi kalah top 3 di tag tim tuh mines yak, yang bener dong, udh 3 kali kek gitu loh. Benerin ah!",3
NERFFFF LAYLA KONTOLLLL!!!!,1
sangat senang sekali,5
perfect game,5
ini agak mendingan adilnya lumayan gak kayak ml bang bang,3
"tolong koneksi di perbaiki,,keneksi bagus,di in game jelek,,game gblk",1
mau ngambil kapasitas ga bisa bikin kalah aja,1
lebih seru dari yang sebelumnya...,4
"game factor keberuntungan,ga ada yg istimewa,sudah diatur sistem,jelek......",1
game bikin emosi mau masukin akun aja sesusah ini apa coba jelek banget,1
plis dong tambahin comander odette pliss ssssssss,3
"COMANDER LAMA MASIH DIBIKIN OP ( YUKI ) KALAU MOONTON TIDAK BERTINDAK, SAYA YAQIN SETELAH AKHIR BULAN, SAYA AKAN TEGAS MENG UNINSTALL GAME INI",1
"game nya bagus banget, bisa bikin rasa bosen jadi hilang",5
game tipe gw,5
Jaringan bos,5
game tolol skem burik lol minus iq,1
"menghibur dan bagus, meski suka aral klo lagi kalah haha...",5
seru bangettttt,5
"game nya bagus, santai dan gk twrlalu berat namun ada sedikit masalah suka keluar dari game dan gk bisa menyambung ulang udah si itu aja",5
meringankan gejala stres,5
Bintang 5 bukan berarti saya puas. Habis di saya Update ehh malah Tidak Bisa Masuk Game. Loading Terus gak masuk masuk.!! Saya KECEWA.!!👍,5
aku tak pernah dapatkan pengalaman buruk seperti ini🥲 1.gacha Hero yang sangat ampas 2.balance sinergi hampir tidak ada 3.ai Hero yang dongo 4.terlallu gambling 5.skill Hero yang terlalu op dan tidak balance 6. terlalu dikit Hero yang disediakan (mengakibatkan sinergi ganda dan saling berebut sinergi) tolong untuk evaluasi nya rate terlalu ampasss,1
"game taikk, s2 nya ga ngotak lagi kalo kalah",1
"tiba"" banyak masalah😑",1
muntun as**,1
tolong tambahin equipment nya dan kembalikan hero lama,4
seru bjir (kalo menang),5
gua cuma butuh franco buat 10/10 doomsword kagak di kasih² sedangkan gua udh di level 9 rata keluar mino terus apaan dah,1
game nya seru banget aku sangat menyukainya,5
kenapa Hero mahal selalu dilevel tinggi,5
"mantap, cuma jaringan sering lambat, mohon di perbaiki🙏",5
ngeunah,5
"setiap update bikin males harus mikirin combo sinergi, ngehafalin sinergi baru tapi gapapa lah biar ga bosen juga, terimakasih teruntuk developer yang membuat game ini semoga semakin bagus kedepannya.",5
dipermainkan dark sistem sama aja dengan game MLBB,1
bolehlah,5
Nice mind game,5
terbaik 👍💯,5
main nya mikir atur strategi Meleng dikit ya kalah,5
waw bagus sekali,5
I love MAGICE C GOGO,5
sangat terhibur,5
seru banget bagi gua yang bosen main mL adanya magic chess bisa ngilangin kebosanan gua game nya seru parah apalagi dapet sinergi astro+Natan b3,5
game ngasah otak sama hoki bjir,5
game ini sangat bagus sekali,5
"maless monton nya gk,susah banget dapet in hero yg mau b3 padahal sisa 1 lagi curang monton gk asik",1
sangat di sayangkan Karena fitur magic crystal sudah dihilangkan berbeda dari magic chess sebelumnya yang lebih fleksibel untuk memainkan kombo ke berbagai Hero berkat adanya magic crystal semoga pihak developer mcgg mengembalikan fitur tersebut untuk kedepannya (selebihnya sudah mantap),4
sulit sekali,5
"kesalahan fatal montoon (mau di apa apa kan sampai kapan pun, enak kan MC yang dulu dari segi apapun) no debat",1
good jobb,5
masih banyak bug yang terjadi didalam in game seperti sinyal yang kadang bermasalah,4
klaw ada bintang nol saya kasih + + + O udah yang paling cocok sama game ini.. tak usah tau apa alasannya.. yang jelas game cacat,1
"gw suka game ini, lebih suka lagi kalau sinergi yang dulu dibalikin seperti sinergi venom, abbys, lighborn dll",5
delay Mulu.,1
"lag parah di in game, dipersulit buat dapat duplikat hero sedang musuh dipermudah, pemberian item juga tidak menguntungkan.",1
game rusak semakin lama semakin aneh padalan aku suka game ini tapi karna praturannya tambah aneh aku hapus gamenya gak masuk akal karna gak punya akal,1
HADIRKAN MODE PRACTICE.......!!!!!!,1
"game sampah hero ngga bisa milih mana ngga dikasih hero mulu game apaan, player curang didiemin",1
sementara saya kasih b1 karena setelah update banyak banget meta rol bawah,1
mantap banget ini,5
"ok, kasih bintang 5 seru gakk bosan gak bikin boring pokok nya di saat jenuh cocok untuk hiburan,",5
gem rusak,1
dikit dikit download data ulang ini kek mana lah game ini makin Ari makin g jls bintang 1 aja moga lah kedepannya baik,1
bagus pokok ngga scam,5
karna game ini menguji pikiran kita untuk lebih kritis agar bisa pilih strategi yang bagus supaya bisa menang dalam pertandingan,5
"uninstall aja, season baru aneh banget pantesan aja sepi peminat",1
enak banget game nya,5
seru buat ngisi waktu gabut,5
Good mantul,5
klo gabut main rank ya main MC gogo ngabisin waktu luang,5
pokoknya mantapp...happy terus ditingkatkan agar lebih magic lagi,5
kenapa bila lagi seru tengah permainan suka error signal dari server apakah kurang modal servernya bos.,4
bermain ini sangat seru mengingatkan ku kepada Chess Rush ♥️ tolong perbanyak event lagi agar lebih menarik perhatian pemain lain dan tolong chessboard hero comander dan lainnya masih kurang banyak dan kurang ber variasi pembelian chessboard juga masih sangat mahal . mungkin orang lain akan bosan dengan chessboard yang di miliki nya karna membeli chessboard juga kan mahal,5
semjak update ko jadi kaya Game sampah,5
seru cmn males sering kena dark system,4
masa setelah update game stuck di loading ga bisa login. setiap selesai update harus download ulang lagi baru bisa. tolong diperbaiki tod moontod!!!,1
susah buat 3*,4
Jelek,1
JEMBOOT MAU BIKIN 10 SINERGI KURANG 1 TRUSS PEPEKK.,1
"main lylia hero inti susah keluar padahal stoknya masih banyak,jadi lebih baik yg dulu kontolllllll",1
serunya gamer ni,5
"game ini mengandalkan hoki, terkadang list hero dishop tidak sesuai dengan kita harapkan, alhasil kita dipaksa untuk rolling/transisi dr 1 sinergi ke sinergi lain. untuk newbie gw saranin kalian pelajari setiap sinergi yg ada, supaya match kalian tidak sering too soon.",4
"udah bagus,, cuman g ada live yg bisa di tonton. sebagai hiburan",5
skill comander terbatas GK kayak dulu,4
sangat baguss banget moontun ilovyou,5
jelek,1
bagu s tap sering lag Mulu kalau main jadi gw kasih 4 🌟,4
Game seru banget auto kasih 🌟 5 💀💀,5
game toxic tutup aj,1
Saya sangat kecewa dengan game ini. Line up yang saya pilih tidak pernah mengantarkan saya untuk mendapatkan Hero yang diinginkan. Saya sudah uninstall game seperti ini. saya berharap agar saya tidak akan pernah download game semacam ini lagi,1
game ini sangat bagus,5
Tolong Tambah fitur PAUSE DOWNLOAD DATA moonton,3
"udah ahh uninstall , dikasih lawan yg hoki nya kaga ngotak terus ..",1
sangat vgus,5
game cacat,1
"game nya udah bagus, saran aja untuk rank mytic keatas harusnya dapat penambahan bintang.. biar gak lama naiknya",5
"bagus kok, maasih seru walau harus adaptasi",5
game meresahkan,1
Game semi judi 5 game ilang 12 bintang. banyak hama roll bawah,1
geme nya seru banget bisa mabar ノ^∇^,5
game nya seru banget kaya lagi main catur,5
"game apaan ini orang orang selalu didapatnya hero yang dia inginkan giliran kita susah dapatinnya, game apa ini gak jelas susah dapat hero yang di inginkan gak jelas sekali game ini",1
knp gambar nya itam kaya brody,1
gamenya keren sih Memang keren tapi Ada satu kesamaan dengan player yaitu Element tapi ya good luck takdir kita yang tak selalu hoki ya jadi Aku gak kurangin bintang karena memang langsung dari tuhan dan juga ketidakhokian yang kita dapat langsung dari tuhan yang mengendalikan ketidakhokian sesuai kerajinan mereka,5
gg monton,5
game nggak jelas ngasih musuh ga ngotak,1
tolong Di Akun ku Kasih mode practice oke Moonton,5
"ini bukan game strategi. tapi game hoki. game yang peresentase kehokian 99%. yang cape refresh ga dapat sinergi. yang hoki ga refres sinergi 6 hahah. si tolil ini game. stok masih banyak, ga muncul muncul. lawan ada 7, ketemunya itu lagi itu lagi. sengaja banget si monyyet bikin kita kalah. ga usah top up . RUGI.",1
game terbaik menurut sayaaa,5
"Mantap, lebih seru mcgg beda apk😝👈",5
