clean_for_labeling,sentiment
agak susah tapi seru,negative
kenapa saya kasih bintang lima yang game yang bagus sekali saya suka main terus,negative
woiii montooon tolong lah player yang roll bawah damage nya dikurangin atau bagaimana begitu membuat orang berhenti main gara banyak roll bawah niat main game mcgg buat havefun malah membuat sakit hati jadinya,negative
segera update lebih lanjut dan berikan kejutan lebih banyak,neutral
sangat suka sakali,negative
masih enakan yang saat masih sama ml soalnya kalau yang kalau mau naikin bintang harus banyak hero dulu masih enak _,negative
so far is good,positive
muantappp,neutral
yang banyak alasan enggak bisa bintang ini hero susah ini itu kalian pokev,negative
dari bnyaknya orang kenapa harus saya yang kalah mulu saya juga cape habisin beberapa menit tapi ujungujungnya kalah naik hdehh ibarat ngelawan arus anjing beda level sama musuhnya,negative
game nya seru tapi kekurangan kalau bisa di miripin sama game yang sama tapi yang punya gaya main lebih intens dan seru kalau boleh saran tingkatkan grafik sama permainan agar makin seru,negative
semoga dari mcgg bisa jadi pemasukan amin,negative
game jelek tidak rekomen buat dimainin tidak jelas memang game nih kita main apa di kasih apa blok,negative
gems taiii,neutral
lumayan buat isengin bocil,neutral
bagus tapi ya kadang tidak adil,negative
tidak asik developer nya dukung roll bawah,neutral
game yang sangat kocak sering tidak adil,negative
game yang sangat rekomended bisa sambil ngopi,neutral
makin lama makin ngebosanin sudah dapat hero susah commander kena nerf terus,negative
comander baru jangan terlalu op takutnya yang lama tidak dipakai,negative
saat pertandingan tanggal jam kurang lebih hasil pertandingan saya tidak terekam dan bintang kemenangan tidak terhitung tolong perbaiki,negative
bad game ever,neutral
anjjing,neutral
lumayan sih tapi ada kekurangan nya kadang main lag dan tapi permain nan nya sudah bagus dan hero nya kuat,negative
game ampas cape cape main malah di scamemikir woyy susah susah ngumpulin sinergi berharap jadi malah tidak di kasih seperti orang bego dapat sinergi nanggungyang benar kalau nyeting gameplayer butuh apa malah di kasih yang lain,negative
ada bug lunox setelah pencet skill lunox layar jadi aneh,negative
tolong moonton ini kok saya enggak ada mode praktice ya padahal saya lihat youtube orang mah ada kok saya enggak ada ini bagaimana tolong,negative
fae sinergy doesnt enhance your rya blessing,neutral
hero alpha mah kata saya banned saja anjir mengesalkan giliran saya yang menggunakan lembek sekali giliran musuh yang menggunakan op sekali pilih kasih lu muntun,negative
mantap buat isi waktu luang,neutral
apaan deh game tidak maju² loading mulu,negative
game aluss iye mahh,neutral
hebat,positive
tidak menyambung,negative
menengankan,neutral
ayo kasih saya kehokian biar gacor mainnya,negative
mantap cuman satu kekurangan emblem fliker coba ada pasti mantap sekaali,negative
aneh awalmau terus babak babak belur sinergi hero yang dari awal pun tidak dapat sama hero sudah banyak level masih kalah sama level akhirnya kalah terus aneehhh annehhh,negative
enggak bisa memainkan mcgg dan diadakannya nostalgia magic chess dulu,positive
baus,neutral
tolong lah monton mengasih lawan jangan yang enggak kali sesuai kan,negative
game kocak tidak jelas koin sampai habis hero gold saja lagi susah kocak,negative
server kentang jemmbot,neutral
tekadang saya kurang mendapatkan hero yang dibutuhkan bintang saja,negative
mcgg jaya jaya,positive
game santai tapi tidak santai keren,positive
makin asik skalipun kalahnya lebih banyak,positive
server nya benerin masa iya conecting mulu di dalam game buat buka yutub lancar saja perasaan aneh server,negative
meminta tolong di perbaiki buat random blessing sama heronya main kali kali juga hero tidak pernah keluar blessing acak semakin kesini bukannya buat seneng² malah buat stres mending uninstall,negative
game sampah karena update kemarin lusa stok hero berkurang jangan di install,negative
hiburan waktu luang,negative
lawak booster game tidak bisa di gunakan di game ini,positive
tolong dong diperbaiki nge lag nya sinyal saya loh normal saya main lag mulu tolong dong,negative
ini game judi anda tidak akan terhibur didalam game ini hanya buat player stres hatihati jangan masuk ke dalam game laknat ini,negative
jangan di donlod game inikarena sistem masih bobrok naikin bintang susah tidak sesuai epektasimasih bagus magic ches yang dulu di banding yang baru,negative
busuk parah sinyal nya,negative
toloong sinyalnya di memperbaiki ini tidak beres teman saya juga ngerasain sinyalnya tidak stabil,negative
game nya sudah bagus perfect tapi tolong kondisikan lah itu commander jhonson ya pasti auto win kalau lawannya itu,negative
lag parah koneksi putus putus chat cs nya tidak ngaruh apa apa,negative
kukasih minn karena saya main tidak di kasih biji eru min,negative
tiba ngestuck padahal koneksi wifi nya stabil tolong di benerin lagi,negative
lunox terlalu hps lunox,negative
game tolol lain main lag,negative
setelah update sinyal malah hilang mulu saat main rank membuat orang emosi saja padahal buat game lain atau buat menonton video lancar saja game jelek,negative
game busuk update terus tapi lagi main tiba lag padahal koneksi bagus,negative
sip bagus,negative
sinyal tidak stabil,neutral
sistem aneh ini commander lunox blessing yang di berikan sistem malah tidak sinergi yang di menggunakan dalam gameplay sinergi yang di aktifkan malah sinergi lain bagaimana mau rubah sinergi sudah terlambat apalagi sistem kocok toko gold habis tanpa mendapat hero yang di perlukan untuk melengkapi sinergi atau mungkin sistem hanya memberi kemudahan pada player baru kita yang player lama di terlantarkan dan tidak di perhatikan,negative
game ini mengasah kemampuan untuk bermain strategi,positive
mantaapp,neutral
mulai enak lagi mainnya sudah kembali seperti yang dulu,negative
game yang sangat bagus untuk mengatur strategi dan bisa dibilang mcgg tipe game yang lebih santai ketimbang mlbb,neutral
banyak sekali bugnya enggak usah rilis kalau belum perfect gamenya,negative
game seperti judi modal keberuntungan doang minim strategi,negative
game saya sukadan bagus sekali,negative
masih bagus magic chess yang tergabung dalam game mobile legend,neutral
tolong lah benerin bug menghubungkan ulang padahal sinyal nya bagus,negative
saya sangat suka karena asik dan bisa mabar bersama teman dan banyak skin gratis buat pemula mau pemain lama,negative
game tidak jelas laporan ku hilang terus laporan enggak ditanggapi habis match dipaksa mode menonton mabar sama teman ditinggal relof bentar enggak bisa menonton teman katanya kalau masih dilobby enggak bisa menonton tapi keluar lobby juga tetap enggak bisa menonton game tidak jelas,negative
game tipumain di game ini bukan berdasarkan skill atau pintar mengatur strategi dlltapi berdasarkan setingan gamenyakapan bisa menang dan kapan harus kalah sudah di atur sering herro dan item yang di perlukan sengaja di persulit karena mmng di haruskan kalahada juga dari segi herro item dan sinergi jauh lebih bagus dari lawan tapi tetap kalahjadi heran bukannya dapat hiburan malah membuat stresssering kita di membuat bolak balik di poin yang samagame sampah asusetingannya terlalu jelas,negative
mantap bosque,positive
bagus rune dibalik ini,negative
elmentalis saya mana kakak monton,negative
perbaiki masalah koneksi masak tiba tiba menghubungkan ulang terus rilok masuk masuk sudah kalah kocak memang,negative
kerenapalagi mode rush royale,neutral
semoga match making nya adil lebih menarik,negative
coba tolong perputaran vs nya di bnerin masa barusan lawan a putaran berikutnya melawan a lagi selebihnya bagus semua,negative
min membuat mode offlinesaya sudah reting bintng,neutral
awal di kasih hero dawnbringersetelah di ambilhabis itu tidak menampak lagi hero nya entar tidak di ambilmuncul terus hero nya mau bongkar pasang sinergikalah damage sama lawan terus harus bagaimana,negative
selasa sumpah monton plz jangan dipisah lah ini magicchess sama ml ribet tahu tidak kalau mau pindah itu harus ogin ulanglol,negative
ok lumayan tapi kadang emosi,neutral
kekurangan nya sih iven gratisan nya tidak sama sama ml nya kalok di ml banyak gratisan nya,negative
game idiot mencari hero nya susah sekali giliran musuh gampang sekali mencari nya,negative
games tidak guna rugi main games ini tidak ada otak,negative
saya sangat suka dengan game ini tidak ada player toxic dan seru di mainkan yang paling penting walaupun kalah bintang enggak turun ayo cepat install mcgg dan mainkan ok mantap,negative
makin di mainkan makin keluar dark sistemnya entah gogo cardsynergi dll sudah seperti main slot njing,negative
sulitt masuk ke akun yang sudah ada tolong permudah lah sudah kali membuat akun game konyolll,negative
semakin di update malah down terus sering kali menghubungkan ulang terusssss padahal jaringansinyal bagus tidak ada gangguan sama sekali,negative
tidak adil dalam kemenangan sinergi vs sinergi acak malah menang sinergi acak,negative
kenapa hari ini magic chess tidak bisa masuk sampai kedalam rank hanya stuck di pencarian pertandingan terus sudah beberapa kali dicoba tetap sama,negative
permainan seru tapi tolong hapuss yang menggunakan cheat,negative
dikit dikit masalah koneksi t,negative
game lag delay detik tidak ngotak ponsel cepat panas semenjak update game jadi ginih saya lebih suka mc dulu yang tidak terlalu berat,negative
game nya bagus tapi saya kesel karena terlalu cepat jeda antara pertarungan nya tolong di perlama ya jedanya apalagi di babak babak akhir,negative
minkenapa mabar di glory cuma bisa duaupdate dong min masa glory rank cuma bisa mabar dua doang tidak seru,negative
kenapa mabar sama glory cuma bisa tolong di kondisikan min,negative
ini game rekomended sekali buat yang malas memikirkan mekanik dll cocok buat yang suka game tidak berat berat amat cuman sedikit saran buat developer buat mengasih fitur login lewat moonton thx,negative
okkkkkkkk,neutral
game unbalanced banyak cheater,neutral
not bad,negative
coba lah saya mau mitik sudah slot dapat hero bintang kagak cape saya roll dari gold tidak ada yang bintang stok heronya masih banyak lo kalau ini tidak dibenerin saya peensi,negative
tolong lah kalau bisa commander wanwan dihapus saja hama sekali ikut campur hero di line up saya rating dulu kalau sudah dihapus itu commander baru saya rating hapus commander hama miya wanwan tolong,negative
tolol memang ini game memperbaiki lagi sistem nya masa paki hero harley dapat bukan sinrgi yang di mainin aneh di ubah apa saya ngstack di legendgara dapat hero sampah bukan nya dapat hero sinrgi yang sama malah dapat hero lain,negative
game ampas kenapa stok hero enggak di perkecil kalau main roll atas jadi susah kan banyak hama roll bawah yang keenakan karena hero enggak lebih sedikit,negative
sangat seru saya sudah mencapai glory sangat seru untuk dimainkan,negative
kalau bisa magic chess di adakan comander power seperti megic chess agar tahu power pada lawan juga dan lebih memudahkan untuk atur serangan dan racik sinergy pleace,negative
game bagus min,neutral
sangat menghibur di waktu metime,neutral
game nya seru dan cocok untuk bermain saat santai,positive
dapat hero yang sangat membagongkan,negative
andai tiap comander bisa memiliki lebih dari skill,positive
tidak bisa komen panjang lebar ini sangan bagus saya suka,negative
game error saya sudah lock shop malah kagak ke lock heronya,negative
seruuu tapi kalau bisa di room mode rank nya di tambain lagi jadi player biar bisa mabar rame sama teman lain,negative
tolol kebanyakan player hama roll bawah saya mau main roll atas tidak bisa tenang tll membanyaki lagi hero gold bagaimana mau main roll atas setiap ketemu pemain roll atas linnya pasti tabrakan sudah bagus hero gold ada malah di turunin jadi memperbaiki lagi,negative
game lawak,positive
gobloggggggg tidak pernah beruntung cookkk tambah susah mainnya gara gara tidak pernah beruntung,negative
lama makin tidak jelas saja nih mcgg apa di nerf,negative
tidak los streak tidak win strike game ini imbang lah jadi enak untuk dimainkan,negative
unik menantang,negative
habis updet malah eror perbaikilah,negative
game terbaik abad ini,positive
game nya sangat menyenangkan banyak bug musuh seperti bot gampang sekali usahain lawan nya yang keras keras,negative
ok,positive
enggak parah sinergi nya gelo,negative
tolong go go card yang adil saat pemilihan sering sekali dapat yang jelek terus musuh malah bagus bagus dan susah sekali mencari hero buat naikin bintang di tambah server sering sekali error,negative
game ampas tidak recomemd banyak gimiknya saya sarankan minding jangan main nati banyak emosinya,negative
sangat bagus mainkan strategi,negative
overall gamenya bagus cuma kalau bisa mode practice itu ditambahkan lah buat player karena terkadang gamungkin juga kita uji coba kombo sama cara kerja commander baru di ranked match karena kalau di ranked match itu sudah pasti kalah kalau tidak tahu cara main commander nya,negative
metch tidak seimbang sudah laporkan keluhan tidak di respon,negative
menonton replay bisa pov pemain juga dong seperti menonton fl main kan itu bisa pov pemain nya jadi saat menonton replay juga disediankan fitur seperti itu,negative
untuk hiburan kasih jempol,neutral
patch enggak jelas,negative
sangat keren pokoknya puas,neutral
suka sekali game nya seru,negative
sangat cocok untuk yang suka bermain strategi,negative
sudah seperti anak sekolahan main game nih,negative
ok pokoknya,neutral
alergi sama roal bawah karena roal bawah hama mending main roll atas,negative
seru karena mainnya seperti ml,negative
kntl scam,neutral
game goblok,neutral
asyik and seru,negative
game burikkkk,positive
gamenya asik tapi saat mcgg pisah dari mlbb chessboard mc saya yang dulu saat pindah ke mcgg jadi hilang terutama chessboard saya yang kungfu panda tolong dong mcgg chessboardnya di kembalikan atau bagaimana solusinya karena dulu lumayan juga gacanya,negative
mantap solo game,positive
game satu ini favorite saya seru sekali,negative
bisa ditingkatkan lagi untuk commander auroraperolehan hadiah dari skillnya sangat unfairsebagai contoh saya pakai aurora matchdari match tersebut hadiah selain gold dan exp commander hanya keluar kalimohon dioptimalkan lagi,negative
sangat seru permainana tapi jangan jahat lah sama sinergi eruditioa gann,negative
asyik sekali game nya lumayan seru,negative
this is good,positive
pengalaman yang baik saya sangat suka kalau bisa di tambahkan tombol beralihke aplikasi mobile legend legend seperti dari mobile lagend ke mcgg terimakasih,negative
baru download lagi gila tharz di nerf gila gilaan di nerf itu agar seimbang tolol bukan di lumpuhkan benar benar tidak ada harapan main tharz lagi tolollll,negative
mantap anying pkokna mah,positive
untuk yang mode nostalgia crystal rune bisa di update ke yang lebih lama lagi bisa sampai ke crystal empirie seperti jaman dulu jangan hanya mode rank saja yang di update biar tidak bosan yang biasa main mode nostalgia terima kasih,negative
dari segi gameplay cukup menarik bagi sypermainan ini sedikit mengasah otak dengan memainkan strategi menggabungkan sinergi untuk tim yang kuatpilihan comander juga banyak,negative
keluar dengan sendiri ya ini dan suka mentok di game loading harus di hapus dulu baru bisa masuk lagi tolong di prebauri ya,negative
apaan koneksi hilang timbul main dalam game,negative
game asuu apa ini masa sudah putaran masih saja level sedangkan lawan sudah pada level malah emblem belum pada lengkap sedangkan lawan sudah pada jadi emblem sistem bagai mana nih tidak beres,negative
keren lahhhh,positive
bagus pisan,negative
menyenangkan satu satu nya game online saya ya memang bukan gamers tapi ini game menarik sekali sehingga tidak pernah merasa bosan,negative
seruuuuuuuu,neutral
nice game saya suka banyak sih yang masih kurang pahambterutama di rank rendah tapi gapp menikmati saja,negative
game seru cuman developer gamenya cpet sekali ngerubah sinergi,negative
tolong kalau main game kartu lawan tidak bisa mengintip menjadi kebiasaan curang dimana mana kalau main kartu game tidak bisa di intaipayah moonton ngebiasain main curang,negative
size nya gede ya,positive
bagus enggak membuat bosan,neutral
makin kesini makin jelek saja ini buat teman² yang belum download aplikasi ini sarang saya jangan coba sudah tidak seperti dulu lagi jelek anjir anjir,negative
game bagus cocok di mainin saat enggak punya banyak waktu main nya pun santai minus nya tergantung kehokian jadi bintang dulu,negative
game tidak jelas sinerginya scam,negative
grafik nya indah tapi kadang suka ngefrezze error dan koneksi tiba tiba terputus kadang suka susah buat ditouch padahal masih berfungsi lcd nya dan suka stag di epic untuk menaikkan tier nya harus berkorban bintang dulu entah hanya saya atau yang lain juga sedikit merugikan tapi alhamdulillah daripada tidak sama sekali terimakasih banyak memori penuh,negative
game enggak jelas seperti tarohan beruntung,neutral
haha ezzz dek,positive
nostalgia,neutral
tidak bagus mc yang sekarang aneh bangt soalnya banyak yang dilebih lebihkan seperti commander karina terus yuki yang menggunakan ruby sumpah norak sekali berlebihan masa sun sama gatot yang dasarnya harga bintang terus kebetulan dapat bintang tapi bisa kalah sama ruby yuki bintang lebayyy sekali sumpah deh anehhh btw buat teman teman jangan download nih game sebelum karina sama yuki di nerf cuma sarana soalnya sudah terlanjur lebay,negative
game keren bro,positive
tolong hapus comander wanwan miya layla lukas comander malas mikir kalau enggak mau di hapus tolong tambahkan untuk band di tier matik jadi,negative
belajar lagi nentuin matchnya minus sekali sistem acak mu,negative
hapus comander miya layla wanwan mc gogo jadi tidak seru semenjak ada comander yang ikut campur dalam pertempuran,negative
seru tapi kadang adil kadang tidak adil,negative
game rusak game sampah dulu ok lah buat hilang ini jenuh dan gameplay nya pun seusai dan fair sekarang kacau damage tidak ada hero lineup susah benar benar sampah,negative
sangatt menghibur,positive
ribet tidak konsisten senangi saja itu roll bawah,negative
enakeun,neutral
koplok,neutral
naikin bintang nya susahturun nya gampang naik bintangskali turun bintang begitu terus main nya makin tidak jls sinergi pun susah dapat nya,negative
seru sih cuman tidak enak nya saat kita masih nyawa nanti lawan yang mau nanti yang yang winpdhl yang sudah pada gede juga hro nyasering kenak comeback sama musuh saat di akhir,negative
mulai tidak jelas nih game sudah ngikut mlbb mulai kelihatan pengaturannya saya malas ada aplikasi kembaran yang sama wataknya byee,negative
bagus kembang lagi,negative
percuma tampilan di bagus²in kemenangan diatur sistem beruntung game sampah koneksi lag enggak jelas habis menang poin pasti kalau main lagi bakalan kalah pulang duluan min kali bye² lah game najis,negative
tolong montoon perbaiki bug mau login kok sudah persen malah ditungguin enggak kebuka aplikasi nya masalh koneksi saya bagus mau dari wifi dan data masih sama tolong ya di perbaiki,negative
kalau mau membuat commander yang btl dikit ktl jangan yang ikut campur di chess board eh tel hero lepas tidak ada yang memegang kenapa seret sekali rollingan nya kntl,negative
terimakasih sudah membuat senergi erudito,positive
ok cakep tingkatkan lagi,negative
game tolol bodohslalu kekalahan anak anjingggggggsenergi deh aktif masih kalah sama sinergi tidak ada bintang sklali pungame tidak guna,negative
indosat mcgg memang cocok sih mau indosat signal bagus atau jelek ketika masuk di ini game beuuuuuhhhhh combo maut server mcgg auto menghubungkan ulang tapi keren sih jadi greget kalau signal server mcgg itu bisa rusak begini gameplay konyolpresentase hero kluar konyolbanyakin skin doangsignal serverukuran aplikasi terlalu besar untuk game yang tidak nyaman playing nya game rusak sekian dan uninstall,negative
sangat baik saya suka main di nostalgia karena lebih suka pilihan hero dan sinerginya,negative
sangat tidak seru dengan hadirnya komander layla wanwan dan miya,negative
lebih ditambah heronya kalau bisa semua hero mlbb masuk biar tambah variasi lagi pilihannya,negative
ajig tidak mengasih beruntung mulu,negative
game terbaik untuk mengisi waktu luang,positive
tolong lah ini yuzong tidak masuk akal sekali darah tidak habis,negative
game terbaik di dunia,positive
mantappppp,neutral
sangat membingung kan dan musuhnya kuat kuat pada saat di rank epik,negative
game busuk tidak seimbang pick dan power,negative
game scam bab,neutral
game rusakk dari awal mulai sampai selesai ketemu musuk satu player mulu aneh bug semua ful sinergy kalah sama yang tidak aktif sinergy cacat game ini,negative
optimalisasi lagi dong gamenya monton nih game masih agak lag di ponsel saya heheh,negative
kurang practice mode,negative
commander yang masih menggunakan damage seperti laylamiyalucaswanwan tolong dihapus lah untuk apa judulnya chess tapi masih menggunakan damage dari commander mending main ml biasalah,negative
tolong lah untuk fitur intip comander dihilangkan untuk apa dibuat namanya game strategi tapi untuk lawan yang kalah bisa intip jumlah hero kita sama saja kecurangan bukan strategi lagi ketika hero core kita akan menjadi bintang karena ada fitur intip jadi di ambil lawan hero kita alhasil dari posisi menang bisa jadi kalah,negative
sngat bagus,negative
game strategi tidak membosankan,negative
lebih banyak mode misal seperti mode dimana cimeder bisa dapat dua keahlian,negative
enggak jelas update nya kecewa sekali jir jadi enggak jelas begini,negative
orang tua semua yang main wkwkwk,negative
lucu sih game nya,neutral
nice moonton i like itu,neutral
walau jarangdpt hero enggak apa-apa buat ngisi kegabutn dikit,neutral
apikmenarik,neutral
serumengasah otak karena bermain strategi enggak seperti sebelah banyak dark systemnya,negative
moba versi catur sudah sangat ok cuma terlalu banyak hero kurangi saja heronya tingkatkan sinergi,negative
malas ah,negative
akun saya hilang,negative
kalau menjual hero di bintang atau kasih peringatan agar tidak terjual,negative
semoga lebih baik lagi,negative
soalnya gemenya seru,negative
singkat padat ya keren lah game ini,positive
karena game nya seru tidak ngebosenin dan pokoknya deh best lah yang saya tidak suka banyak roll bawah,negative
pelit,negative
menghibur waktu sengang,positive
membanyaki event biar makin rame,negative
magic chess itu ada lah game ter keren sedunia,neutral
sangat menghibur sodara,neutral
sangat seruuuu dannn menyenangkannn,negative
mantap game santai,positive
kenapa hero nya enggak lengkap iya seperti palir dan lain lain tidak ada saran saja sih hero nya di lengkapin yang ada di ml terimakasihh,negative
makin aneh saja untuk sekarang tidak perlu combo yang penting hero legend bintang sudah auto win beda dari yang dulu sekarang mah tidak perlu combo,negative
menurut saya sudah ok sih cuma perlu di perbaiki sistem sinergi nya yang awal nya menjadi sulit woy butuh beruntung sekali nya sampai itu beruntung nya di menggunakan kali sumur hidup mybe over all saya suka sekali mcgg,negative
game tidak imbang rollingan kacau banyak nerf tidak guna roll atas dibatasi enggak bisa menjamin,negative
kalau bisa bettle poin di mlbb bisa di menggunakan di mcgg soalnya bettle poin di mlbb ku deh juta lebih dan sdah enggak ada gunanya,neutral
coba ada top global commander hehe soalnya saya hanya pakai commander dari season,negative
makin seru n hidup anime,negative
magic chess kereeeeennnnnn,neutral
grafiknya mon perbaiki seperti kartun ajkarna lo baik sama saya karena wins trek nih saya kasih bintang mon saya tidak perna merasai honortolong honorin dong,negative
mantap sih kurang drama atau memang saya sudah tuwa,negative
menemani ketika bosan,neutral
ppppppppppppppppp mungkin bisa di bantu untuk skin comander karina ya dan skin comander zilong karena saya tidak punya banyak diamon,negative
game tolol main jahson dari awal sampai game selesai masa tidak dapat sinergi yang di butuhin sama sekali saja tidak tolol,negative
keren sihadu strategi bukan ambisi,negative
kadang kesal mainnyamknya sudah pernah ku uninstal hero yang kita inginkan kadang tidak ada huhhh tak kasih bintang,negative
server nge bug mindri tdi siang main ping merah terus sampai skrangpdhal sinyal wiffi bagus data seluler juga bagusbuat main mlbb lancar lancar saja,negative
enggak bang kata ilham,negative
asik sih buat hiburan santai,positive
jos permainan sungguh menghibur ketika waktu luang untuk merefresh pikiran penat,negative
senang ngilangin stres bisa mikir strategi,negative
jelekkkk,neutral
permainan yang menyenangkan buat mengisi waktu luang,negative
game tolol banyak bug nya stok hero gold dikurangin jadi makin ampas nih game memang game moonton kagak ada yang benar,negative
jossss,neutral
seru habis dulu sempat pensi sekarang coba adaptasi lagi,negative
bagus sekali pertahankan,negative
suka sekali apa lagi kalau memang terus di rank sayang nya kalah terus,negative
mengapa magic cas saya tidak bisa terhubung dengan akun monton sudah hapus install kali mohon diperbaiki,negative
this game is so good,positive
pengusir stres yang membuat stres hahaha,negative
perbaiki sinyal,neutral
naikkan presentase hero ruby saya setiap kali main ruby mau naikkin ke bintang saja susahnya pakai sekali giliran pakai haya bintang gampang bangettapacoba padahal ruby hero enggak harusnya lebih sering muncul malah muncul cuma sekali sekali,negative
era mcgg seru parah,negative
mantap temenku tusun mulu,neutral
permainan yang sangat seruh tapi tolong tambah kan lagi hero nya masih kurang hero yaitu hero mage attau tenk,negative
drak sistem ter gilakita main magic kartu buffnya pisical kita main pisical kartu buffnya magical sebenarnya game ini kita yang mainkan atau kita yang harus ikut sitem kalau ikut sistem apa guna otak kita kita yang di paksa ikut sistem game drak sistem,negative
wah bagus sekali gamenya tapi kasihh hero baru dong _,negative
game scamm jangan install ini game menyesal lu nanti,negative
tolong balikan hero harga gold jadi stock stock saja masih susah buat bintang apalagi stock,negative
mantap pokoke,positive
ok seeeeeeb,positive
yhaa saya suka game ini karena saya sudah mythic,negative
game anjing tidak pernah beruntung kont,neutral
pengalaman bermain tidak sesuai dengan persentase kemunculan hero dengan sinergi yang dimainkan sangat merugikan player,positive
game ini menggunakan bad marketingmemicu dopamine dengan berbagai cara biar kecanduankalau anda cerdas anda tidak akan memainkan game ini,neutral
games sangat bai,negative
game nya mudah dipahamihero alucard kapan min jadi comander di mcgg,negative
heh monoton kalau membuat update yang masuk akal dikit lah masa hero epic di kurangi stok nya lu tahu tidak dengan update seperti begitu membuat banyak palyer roll bawah dan itu meresahkan bagi player roll atas tolong di koreksi lagi update nya bagaimana game nya mau rame kalau tidak ada kebijakan,negative
game ini bukan soal strategi bukan tentang skilltapi menang kalah tergantung moonton,negative
yang main nya jago jangan main bang saya kalah mulu soal nya wkwk,negative
gege,neutral
game yang menghibur tidak membosankan,negative
game babi di ketika ben di mulai malah yang sedikit di pilih game tolol,negative
game rusakk,positive
nerf tars gila sekali sudah hero kalau menang dapat satu heronya di batasi saat doang pula,negative
bagaimana sih ini game kenapa bintang nya tidak naik padahal menang ke,neutral
game manok,positive
game santuy mainnya kita tinggal cari hero tipe ya sesuai dengan lane,positive
slebe gamee buriqqq,neutral
saya sangat menyukai game inibisa membuat stres hilang,negative
suka lag koneksi tiba drop lebih baik magic chess yang lamagame ini terlalu ribet kurang menarik dari segi tampilan juga game play lebih seru yang dulu kita bisa buat kombo yang kita inginkan game ini terlalu random dan ribet skil komender yang dulu ada tiga sekarang di menghilangkan komender terlalu banyak jadi kelihatan sekali sisi bisnis my game ini komender cuma dikasih skil dan kita harus upgrade komender dengan beli komender yang sama dengan jumlah banyak baru di bisa di upgrade politik sekali,negative
tolong nerf hero karinasaya kalah dengan karina bintang padahal nolan saya sudah bnerf saja durasi hilang saat skill,negative
untuk segi gameplaynya sudha ok namun ketika rank mencapai mythic untuk segi ban commander masih kacau tidak sesuai dengan apa yang di vote oleh player,negative
tidak adil banyak kecurangan dan keanehan,negative
nice my friends,positive
masih heran saya enggak dapat melulu cost yang len saya inginin saya pertama mencari alpha saya anggap ah lagi enggak beruntung saja nah selepas mencari franco atau sinerga yang sama seperti doonsworm malah alpha melulu muncul giliran cari moskov malah yuk zong franco alpha yang muncul melulu giliran cari yuk zhong moskov muncul ah enggak jelas hapus saja lah game satu ini mending tft,negative
bug loding awal nya enggak bisa login sampai terus menerus kagak bisa login mohon ya buat mc go go tolong di perbaiki,negative
mc sekarang kagak seru tidak seperti dulu mooton kembalikan mc yang dulu di mlbb,negative
game tololll,positive
game enggak jelas mencari hero seperti mencari kepastian game scam makan nomor bintang,negative
eh moonton saya main mcgg kenapa blessing ku selalu yang tidak ku mau bang harus pindah berapa kali bah sedangkan orang lain sekali blessing langsung dapat blessing yang dimau tolong saya hehe he ha saya enggak pernah beruntung teh,negative
semenjak mc menjadi aplikasi sendiri deh malas kali main lebih seru ketika gabung ml,negative
susah sekali ganti akun saja tidak seperti mlbb nya nyusahin nih game buat ganti akun doang dengan embel embel biar aman malah jadi susah,negative
game ampas paling membuat jengkel diputer salah tidak diputer makin salah tidak nongol yang dibutuhkan janganpasang game ini membuat gemas emosi jengkel,negative
update tahi ton montoon,negative
cukup mengesankan,neutral
aplikasinya sangat bagus sangat puas menantang cowok mampir ke tik tok gemingggggg,negative
pusing main ml lebih baik mcgg saja,negative
tolong ya moonton koneksi nya di perbaiki lagi ya masak detik terakhir mau menang tiba lag harus relog dulu baru bisa tidak jadi menang akhir nya tolong nya moonton,negative
mantap magic chess go go terus update hal hal baru dan berinovasi terus ditunggu ya,positive
makin bosan main karena sudah tidak ada lagi combo kangkung jadi saya kasih bintang saja,negative
bug akun mcgg akun ml kena hack gara gara bug mcgg yang setiap kali login dapat akun yang beda beda sial sialll akun ml saya kena hack,negative
update kali ini gagal stok hero dikurangin bagaimana mau rotasi,negative
ok buat adu mekanik di line,positive
gamenya bagus tapi setelah mach tidak seperti ml tidak bisa lihat profil musuh cuma bisa lihat profil teman kurang asik mohon di tambahkan fitur itu ya king soalnya saya mau pamer win rate saya sama bisa chat juga soalnya saya di olok olok mulu,negative
game sampah jangan di donlod tidak adil sistem nya curang,negative
bagus tolong moonton peropil nya di bagusi lagi,negative
game ini sangat kurang sekali dari segi koneksi yang mana game ini harus memakai koneksi yang sangat lancar dan cepat sedikit saja memainkan game ini dengan koneksi lemah atau kurang stabil maka akan sangat lag yang berkelanjutan dan akhirnya saya di kick dari game dan harus relogin lagi ty,negative
sangat membantu waktu luang,negative
game nya bagus wkkkkkw,neutral
game strategi yang sangat bagus,negative
setelah di update malah jadi sering bug koneksi padahal koneksi ku aman mohon diperbaiki itu sangat mengganggu kenyamanan bermain,negative
game banyak cheat tidak masuk akal hero gemuknaikkin slot cepat tapi goldnya banyak ah lu saja yang tidak bisa main makin menjadi beruntung tidak kira yang benar saja montong,negative
sering sekali menghubungkan ulang padahal buat aplikasi lain lancar saja,negative
monton coba deh tarz di nerf abisan aneh huh,negative
dari magic chess sampai ke go go chess kebanyakan drak sistem,negative
nguras kuota jelek,negative
game burik jelek matchmakingnya jelek sering lag menyesal download,negative
