clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
bad game ever,neutral,positive,negative,negative,negative,positive,negative,negative
anjjing,neutral,positive,negative,negative,negative,negative,positive,negative
lumayan sih tapi ada kekurangan nya kadang main lag dan tapi permain nan nya sudah bagus dan hero nya kuat,negative,negative,positive,neutral,neutral,positive,positive,positive
game ampas cape cape main malah di scamemikir woyy susah susah ngumpulin sinergi berharap jadi malah tidak di kasih seperti orang bego dapat sinergi nanggungyang benar kalau nyeting gameplayer butuh apa malah di kasih yang lain,negative,positive,negative,negative,negative,negative,negative,negative
ada bug lunox setelah pencet skill lunox layar jadi aneh,negative,positive,negative,negative,negative,negative,negative,negative
tolong moonton ini kok saya enggak ada mode praktice ya padahal saya lihat youtube orang mah ada kok saya enggak ada ini bagaimana tolong,negative,positive,negative,negative,negative,negative,negative,negative
fae sinergy doesnt enhance your rya blessing,neutral,negative,neutral,positive,neutral,positive,neutral,neutral
hero alpha mah kata saya banned saja anjir mengesalkan giliran saya yang menggunakan lembek sekali giliran musuh yang menggunakan op sekali pilih kasih lu muntun,negative,positive,negative,negative,negative,negative,negative,negative
mantap buat isi waktu luang,neutral,negative,positive,neutral,neutral,positive,positive,positive
apaan deh game tidak maju² loading mulu,negative,positive,negative,negative,negative,negative,negative,negative
game aluss iye mahh,neutral,positive,negative,neutral,negative,positive,neutral,negative
hebat,positive,negative,positive,positive,neutral,positive,positive,positive
tidak menyambung,negative,positive,negative,negative,negative,negative,negative,negative
menengankan,neutral,positive,negative,negative,negative,negative,negative,negative
ayo kasih saya kehokian biar gacor mainnya,negative,negative,positive,positive,negative,neutral,negative,negative
mantap cuman satu kekurangan emblem fliker coba ada pasti mantap sekaali,negative,negative,positive,positive,neutral,positive,positive,positive
aneh awalmau terus babak babak belur sinergi hero yang dari awal pun tidak dapat sama hero sudah banyak level masih kalah sama level akhirnya kalah terus aneehhh annehhh,negative,positive,negative,negative,negative,negative,negative,negative
enggak bisa memainkan mcgg dan diadakannya nostalgia magic chess dulu,positive,negative,neutral,positive,negative,neutral,neutral,positive
baus,neutral,positive,negative,negative,negative,negative,negative,negative
tolong lah monton mengasih lawan jangan yang enggak kali sesuai kan,negative,positive,negative,negative,negative,negative,negative,negative
game kocak tidak jelas koin sampai habis hero gold saja lagi susah kocak,negative,positive,negative,negative,negative,negative,negative,negative
server kentang jemmbot,neutral,positive,neutral,negative,negative,negative,neutral,negative
tekadang saya kurang mendapatkan hero yang dibutuhkan bintang saja,negative,positive,negative,negative,negative,negative,negative,negative
mcgg jaya jaya,positive,negative,positive,positive,neutral,positive,neutral,positive
game santai tapi tidak santai keren,positive,negative,negative,neutral,neutral,positive,negative,negative
makin asik skalipun kalahnya lebih banyak,positive,negative,positive,positive,neutral,positive,positive,positive
server nya benerin masa iya conecting mulu di dalam game buat buka yutub lancar saja perasaan aneh server,negative,positive,negative,negative,negative,negative,negative,negative
meminta tolong di perbaiki buat random blessing sama heronya main kali kali juga hero tidak pernah keluar blessing acak semakin kesini bukannya buat seneng² malah buat stres mending uninstall,negative,positive,negative,negative,negative,negative,negative,negative
game sampah karena update kemarin lusa stok hero berkurang jangan di install,negative,positive,negative,negative,negative,negative,negative,negative
hiburan waktu luang,negative,neutral,neutral,neutral,neutral,positive,neutral,neutral
lawak booster game tidak bisa di gunakan di game ini,positive,positive,negative,neutral,negative,negative,neutral,negative
tolong dong diperbaiki nge lag nya sinyal saya loh normal saya main lag mulu tolong dong,negative,positive,negative,negative,negative,negative,negative,negative
ini game judi anda tidak akan terhibur didalam game ini hanya buat player stres hatihati jangan masuk ke dalam game laknat ini,negative,positive,negative,negative,negative,negative,negative,negative
jangan di donlod game inikarena sistem masih bobrok naikin bintang susah tidak sesuai epektasimasih bagus magic ches yang dulu di banding yang baru,negative,positive,negative,negative,negative,negative,negative,negative
busuk parah sinyal nya,negative,positive,negative,negative,negative,negative,negative,negative
toloong sinyalnya di memperbaiki ini tidak beres teman saya juga ngerasain sinyalnya tidak stabil,negative,positive,negative,negative,negative,negative,negative,negative
game nya sudah bagus perfect tapi tolong kondisikan lah itu commander jhonson ya pasti auto win kalau lawannya itu,negative,positive,negative,negative,negative,negative,neutral,negative
lag parah koneksi putus putus chat cs nya tidak ngaruh apa apa,negative,positive,negative,negative,negative,negative,negative,negative
kukasih minn karena saya main tidak di kasih biji eru min,negative,positive,negative,negative,negative,neutral,negative,positive
tiba ngestuck padahal koneksi wifi nya stabil tolong di benerin lagi,negative,positive,negative,negative,negative,negative,negative,negative
lunox terlalu hps lunox,negative,positive,negative,negative,negative,negative,negative,negative
game tolol lain main lag,negative,positive,negative,negative,negative,negative,negative,negative
setelah update sinyal malah hilang mulu saat main rank membuat orang emosi saja padahal buat game lain atau buat menonton video lancar saja game jelek,negative,positive,negative,negative,negative,negative,negative,negative
game busuk update terus tapi lagi main tiba lag padahal koneksi bagus,negative,positive,negative,negative,negative,negative,negative,negative
sip bagus,negative,negative,positive,neutral,neutral,positive,positive,positive
sinyal tidak stabil,neutral,positive,negative,negative,negative,negative,negative,negative
sistem aneh ini commander lunox blessing yang di berikan sistem malah tidak sinergi yang di menggunakan dalam gameplay sinergi yang di aktifkan malah sinergi lain bagaimana mau rubah sinergi sudah terlambat apalagi sistem kocok toko gold habis tanpa mendapat hero yang di perlukan untuk melengkapi sinergi atau mungkin sistem hanya memberi kemudahan pada player baru kita yang player lama di terlantarkan dan tidak di perhatikan,negative,positive,negative,negative,negative,negative,negative,negative
game ini mengasah kemampuan untuk bermain strategi,positive,neutral,neutral,neutral,neutral,positive,positive,neutral
mantaapp,neutral,negative,positive,positive,neutral,positive,positive,positive
mulai enak lagi mainnya sudah kembali seperti yang dulu,negative,negative,positive,positive,neutral,positive,positive,positive
game yang sangat bagus untuk mengatur strategi dan bisa dibilang mcgg tipe game yang lebih santai ketimbang mlbb,neutral,negative,positive,positive,neutral,positive,positive,positive
banyak sekali bugnya enggak usah rilis kalau belum perfect gamenya,negative,positive,negative,negative,negative,negative,negative,negative
game seperti judi modal keberuntungan doang minim strategi,negative,positive,negative,negative,negative,negative,negative,negative
game saya sukadan bagus sekali,negative,negative,positive,positive,neutral,positive,positive,positive
masih bagus magic chess yang tergabung dalam game mobile legend,neutral,negative,positive,neutral,neutral,positive,positive,negative
tolong lah benerin bug menghubungkan ulang padahal sinyal nya bagus,negative,positive,positive,negative,negative,negative,neutral,negative
saya sangat suka karena asik dan bisa mabar bersama teman dan banyak skin gratis buat pemula mau pemain lama,negative,negative,positive,positive,neutral,positive,positive,positive
game tidak jelas laporan ku hilang terus laporan enggak ditanggapi habis match dipaksa mode menonton mabar sama teman ditinggal relof bentar enggak bisa menonton teman katanya kalau masih dilobby enggak bisa menonton tapi keluar lobby juga tetap enggak bisa menonton game tidak jelas,negative,positive,negative,negative,negative,negative,negative,negative
game tipumain di game ini bukan berdasarkan skill atau pintar mengatur strategi dlltapi berdasarkan setingan gamenyakapan bisa menang dan kapan harus kalah sudah di atur sering herro dan item yang di perlukan sengaja di persulit karena mmng di haruskan kalahada juga dari segi herro item dan sinergi jauh lebih bagus dari lawan tapi tetap kalahjadi heran bukannya dapat hiburan malah membuat stresssering kita di membuat bolak balik di poin yang samagame sampah asusetingannya terlalu jelas,negative,positive,negative,negative,negative,negative,negative,negative
mantap bosque,positive,negative,positive,positive,neutral,positive,positive,positive
bagus rune dibalik ini,negative,negative,positive,positive,neutral,positive,positive,positive
elmentalis saya mana kakak monton,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
perbaiki masalah koneksi masak tiba tiba menghubungkan ulang terus rilok masuk masuk sudah kalah kocak memang,negative,positive,negative,negative,negative,negative,negative,negative
kerenapalagi mode rush royale,neutral,neutral,neutral,positive,neutral,positive,neutral,neutral
semoga match making nya adil lebih menarik,negative,negative,positive,neutral,neutral,positive,positive,positive
coba tolong perputaran vs nya di bnerin masa barusan lawan a putaran berikutnya melawan a lagi selebihnya bagus semua,negative,negative,positive,negative,negative,positive,positive,positive
min membuat mode offlinesaya sudah reting bintng,neutral,neutral,neutral,negative,negative,neutral,neutral,neutral
awal di kasih hero dawnbringersetelah di ambilhabis itu tidak menampak lagi hero nya entar tidak di ambilmuncul terus hero nya mau bongkar pasang sinergikalah damage sama lawan terus harus bagaimana,negative,positive,negative,negative,negative,negative,negative,negative
selasa sumpah monton plz jangan dipisah lah ini magicchess sama ml ribet tahu tidak kalau mau pindah itu harus ogin ulanglol,negative,positive,negative,negative,negative,negative,negative,negative
ok lumayan tapi kadang emosi,neutral,positive,negative,neutral,neutral,positive,negative,negative
kekurangan nya sih iven gratisan nya tidak sama sama ml nya kalok di ml banyak gratisan nya,negative,positive,negative,negative,negative,negative,negative,negative
game idiot mencari hero nya susah sekali giliran musuh gampang sekali mencari nya,negative,positive,negative,negative,negative,negative,negative,negative
games tidak guna rugi main games ini tidak ada otak,negative,negative,negative,negative,negative,positive,negative,positive
saya sangat suka dengan game ini tidak ada player toxic dan seru di mainkan yang paling penting walaupun kalah bintang enggak turun ayo cepat install mcgg dan mainkan ok mantap,negative,negative,positive,positive,neutral,positive,positive,positive
makin di mainkan makin keluar dark sistemnya entah gogo cardsynergi dll sudah seperti main slot njing,negative,positive,negative,negative,negative,negative,neutral,negative
sulitt masuk ke akun yang sudah ada tolong permudah lah sudah kali membuat akun game konyolll,negative,positive,neutral,negative,negative,negative,negative,negative
semakin di update malah down terus sering kali menghubungkan ulang terusssss padahal jaringansinyal bagus tidak ada gangguan sama sekali,negative,positive,negative,negative,negative,negative,negative,negative
tidak adil dalam kemenangan sinergi vs sinergi acak malah menang sinergi acak,negative,positive,negative,negative,negative,negative,negative,negative
kenapa hari ini magic chess tidak bisa masuk sampai kedalam rank hanya stuck di pencarian pertandingan terus sudah beberapa kali dicoba tetap sama,negative,positive,positive,negative,negative,negative,negative,negative
permainan seru tapi tolong hapuss yang menggunakan cheat,negative,positive,negative,neutral,negative,neutral,neutral,negative
dikit dikit masalah koneksi t,negative,positive,negative,negative,negative,negative,negative,negative
game lag delay detik tidak ngotak ponsel cepat panas semenjak update game jadi ginih saya lebih suka mc dulu yang tidak terlalu berat,negative,negative,positive,negative,negative,positive,negative,positive
game nya bagus tapi saya kesel karena terlalu cepat jeda antara pertarungan nya tolong di perlama ya jedanya apalagi di babak babak akhir,negative,positive,negative,negative,negative,negative,negative,negative
minkenapa mabar di glory cuma bisa duaupdate dong min masa glory rank cuma bisa mabar dua doang tidak seru,negative,positive,negative,neutral,negative,negative,negative,negative
kenapa mabar sama glory cuma bisa tolong di kondisikan min,negative,neutral,negative,negative,negative,neutral,negative,neutral
ini game rekomended sekali buat yang malas memikirkan mekanik dll cocok buat yang suka game tidak berat berat amat cuman sedikit saran buat developer buat mengasih fitur login lewat moonton thx,negative,negative,positive,neutral,neutral,positive,positive,positive
okkkkkkkk,neutral,negative,positive,negative,neutral,negative,neutral,positive
game unbalanced banyak cheater,neutral,positive,negative,negative,negative,negative,neutral,negative
not bad,negative,positive,positive,positive,negative,negative,neutral,negative
coba lah saya mau mitik sudah slot dapat hero bintang kagak cape saya roll dari gold tidak ada yang bintang stok heronya masih banyak lo kalau ini tidak dibenerin saya peensi,negative,positive,negative,negative,negative,negative,negative,negative
tolong lah kalau bisa commander wanwan dihapus saja hama sekali ikut campur hero di line up saya rating dulu kalau sudah dihapus itu commander baru saya rating hapus commander hama miya wanwan tolong,negative,positive,negative,negative,negative,negative,negative,negative
tolol memang ini game memperbaiki lagi sistem nya masa paki hero harley dapat bukan sinrgi yang di mainin aneh di ubah apa saya ngstack di legendgara dapat hero sampah bukan nya dapat hero sinrgi yang sama malah dapat hero lain,negative,positive,negative,negative,negative,negative,negative,negative
game ampas kenapa stok hero enggak di perkecil kalau main roll atas jadi susah kan banyak hama roll bawah yang keenakan karena hero enggak lebih sedikit,negative,positive,negative,negative,negative,negative,negative,negative
sangat seru saya sudah mencapai glory sangat seru untuk dimainkan,negative,negative,positive,positive,neutral,positive,positive,positive
kalau bisa magic chess di adakan comander power seperti megic chess agar tahu power pada lawan juga dan lebih memudahkan untuk atur serangan dan racik sinergy pleace,negative,negative,positive,positive,neutral,neutral,positive,positive
game bagus min,neutral,negative,positive,neutral,neutral,positive,positive,positive
sangat menghibur di waktu metime,neutral,negative,positive,positive,neutral,positive,positive,positive
game nya seru dan cocok untuk bermain saat santai,positive,negative,positive,positive,neutral,positive,positive,positive
dapat hero yang sangat membagongkan,negative,negative,positive,positive,neutral,positive,positive,positive
andai tiap comander bisa memiliki lebih dari skill,positive,neutral,neutral,neutral,negative,neutral,neutral,neutral
tidak bisa komen panjang lebar ini sangan bagus saya suka,negative,negative,positive,neutral,neutral,positive,positive,positive
game error saya sudah lock shop malah kagak ke lock heronya,negative,positive,negative,negative,negative,negative,negative,negative
seruuu tapi kalau bisa di room mode rank nya di tambain lagi jadi player biar bisa mabar rame sama teman lain,negative,negative,positive,neutral,neutral,neutral,neutral,negative
tolol kebanyakan player hama roll bawah saya mau main roll atas tidak bisa tenang tll membanyaki lagi hero gold bagaimana mau main roll atas setiap ketemu pemain roll atas linnya pasti tabrakan sudah bagus hero gold ada malah di turunin jadi memperbaiki lagi,negative,positive,negative,negative,negative,negative,negative,negative
game lawak,positive,positive,negative,neutral,negative,positive,positive,negative
gobloggggggg tidak pernah beruntung cookkk tambah susah mainnya gara gara tidak pernah beruntung,negative,positive,negative,negative,negative,negative,negative,negative
lama makin tidak jelas saja nih mcgg apa di nerf,negative,positive,negative,negative,negative,negative,negative,negative
tidak los streak tidak win strike game ini imbang lah jadi enak untuk dimainkan,negative,negative,positive,positive,neutral,positive,positive,positive
unik menantang,negative,negative,positive,positive,neutral,positive,positive,positive
habis updet malah eror perbaikilah,negative,positive,negative,negative,negative,negative,negative,negative
game terbaik abad ini,positive,negative,positive,neutral,neutral,positive,positive,positive
game nya sangat menyenangkan banyak bug musuh seperti bot gampang sekali usahain lawan nya yang keras keras,negative,negative,positive,positive,neutral,negative,positive,positive
ok,positive,negative,positive,neutral,neutral,negative,positive,positive
enggak parah sinergi nya gelo,negative,negative,negative,negative,negative,negative,positive,positive
tolong go go card yang adil saat pemilihan sering sekali dapat yang jelek terus musuh malah bagus bagus dan susah sekali mencari hero buat naikin bintang di tambah server sering sekali error,negative,positive,negative,negative,negative,negative,negative,negative
game ampas tidak recomemd banyak gimiknya saya sarankan minding jangan main nati banyak emosinya,negative,positive,negative,negative,negative,negative,negative,negative
sangat bagus mainkan strategi,negative,negative,positive,neutral,neutral,positive,positive,positive
overall gamenya bagus cuma kalau bisa mode practice itu ditambahkan lah buat player karena terkadang gamungkin juga kita uji coba kombo sama cara kerja commander baru di ranked match karena kalau di ranked match itu sudah pasti kalah kalau tidak tahu cara main commander nya,negative,negative,positive,neutral,negative,negative,negative,positive
metch tidak seimbang sudah laporkan keluhan tidak di respon,negative,positive,neutral,negative,negative,negative,negative,negative
menonton replay bisa pov pemain juga dong seperti menonton fl main kan itu bisa pov pemain nya jadi saat menonton replay juga disediankan fitur seperti itu,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
untuk hiburan kasih jempol,neutral,negative,positive,positive,neutral,positive,neutral,positive
patch enggak jelas,negative,positive,negative,negative,negative,negative,negative,negative
sangat keren pokoknya puas,neutral,negative,positive,positive,neutral,positive,positive,positive
suka sekali game nya seru,negative,negative,positive,positive,neutral,positive,positive,positive
sangat cocok untuk yang suka bermain strategi,negative,negative,positive,positive,neutral,positive,positive,positive
sudah seperti anak sekolahan main game nih,negative,positive,neutral,neutral,negative,neutral,neutral,neutral
ok pokoknya,neutral,negative,positive,negative,neutral,positive,positive,positive
alergi sama roal bawah karena roal bawah hama mending main roll atas,negative,positive,negative,negative,negative,negative,negative,negative
seru karena mainnya seperti ml,negative,negative,positive,positive,neutral,neutral,positive,positive
kntl scam,neutral,positive,negative,negative,negative,negative,neutral,negative
game goblok,neutral,positive,negative,negative,negative,negative,negative,negative
asyik and seru,negative,negative,positive,positive,neutral,positive,positive,positive
game burikkkk,positive,positive,positive,negative,negative,negative,neutral,negative
gamenya asik tapi saat mcgg pisah dari mlbb chessboard mc saya yang dulu saat pindah ke mcgg jadi hilang terutama chessboard saya yang kungfu panda tolong dong mcgg chessboardnya di kembalikan atau bagaimana solusinya karena dulu lumayan juga gacanya,negative,positive,positive,negative,negative,negative,negative,positive
mantap solo game,positive,negative,positive,neutral,neutral,positive,positive,positive
game satu ini favorite saya seru sekali,negative,negative,positive,positive,neutral,positive,positive,positive
bisa ditingkatkan lagi untuk commander auroraperolehan hadiah dari skillnya sangat unfairsebagai contoh saya pakai aurora matchdari match tersebut hadiah selain gold dan exp commander hanya keluar kalimohon dioptimalkan lagi,negative,negative,positive,positive,negative,positive,positive,positive
sangat seru permainana tapi jangan jahat lah sama sinergi eruditioa gann,negative,negative,positive,positive,negative,positive,positive,positive
asyik sekali game nya lumayan seru,negative,negative,positive,positive,neutral,positive,positive,positive
this is good,positive,negative,positive,positive,neutral,positive,positive,positive
pengalaman yang baik saya sangat suka kalau bisa di tambahkan tombol beralihke aplikasi mobile legend legend seperti dari mobile lagend ke mcgg terimakasih,negative,negative,positive,positive,neutral,positive,positive,positive
baru download lagi gila tharz di nerf gila gilaan di nerf itu agar seimbang tolol bukan di lumpuhkan benar benar tidak ada harapan main tharz lagi tolollll,negative,positive,negative,negative,negative,negative,negative,negative
mantap anying pkokna mah,positive,negative,positive,positive,neutral,positive,positive,positive
untuk yang mode nostalgia crystal rune bisa di update ke yang lebih lama lagi bisa sampai ke crystal empirie seperti jaman dulu jangan hanya mode rank saja yang di update biar tidak bosan yang biasa main mode nostalgia terima kasih,negative,negative,positive,neutral,neutral,positive,positive,positive
dari segi gameplay cukup menarik bagi sypermainan ini sedikit mengasah otak dengan memainkan strategi menggabungkan sinergi untuk tim yang kuatpilihan comander juga banyak,negative,negative,positive,neutral,neutral,positive,positive,positive
keluar dengan sendiri ya ini dan suka mentok di game loading harus di hapus dulu baru bisa masuk lagi tolong di prebauri ya,negative,positive,negative,negative,negative,negative,negative,negative
apaan koneksi hilang timbul main dalam game,negative,positive,negative,negative,negative,negative,negative,negative
game asuu apa ini masa sudah putaran masih saja level sedangkan lawan sudah pada level malah emblem belum pada lengkap sedangkan lawan sudah pada jadi emblem sistem bagai mana nih tidak beres,negative,positive,negative,negative,negative,negative,negative,negative
keren lahhhh,positive,negative,positive,positive,neutral,positive,positive,positive
bagus pisan,negative,negative,positive,positive,neutral,positive,positive,positive
menyenangkan satu satu nya game online saya ya memang bukan gamers tapi ini game menarik sekali sehingga tidak pernah merasa bosan,negative,negative,positive,positive,neutral,positive,positive,positive
seruuuuuuuu,neutral,negative,positive,positive,neutral,positive,neutral,positive
nice game saya suka banyak sih yang masih kurang pahambterutama di rank rendah tapi gapp menikmati saja,negative,negative,positive,neutral,neutral,positive,positive,positive
game seru cuman developer gamenya cpet sekali ngerubah sinergi,negative,positive,negative,positive,negative,positive,positive,negative
tolong kalau main game kartu lawan tidak bisa mengintip menjadi kebiasaan curang dimana mana kalau main kartu game tidak bisa di intaipayah moonton ngebiasain main curang,negative,positive,negative,negative,negative,negative,negative,negative
size nya gede ya,positive,negative,negative,neutral,negative,positive,positive,positive
bagus enggak membuat bosan,neutral,negative,positive,neutral,neutral,positive,positive,positive
makin kesini makin jelek saja ini buat teman² yang belum download aplikasi ini sarang saya jangan coba sudah tidak seperti dulu lagi jelek anjir anjir,negative,positive,negative,negative,negative,negative,negative,negative
game bagus cocok di mainin saat enggak punya banyak waktu main nya pun santai minus nya tergantung kehokian jadi bintang dulu,negative,negative,positive,neutral,neutral,positive,positive,positive
game tidak jelas sinerginya scam,negative,positive,negative,negative,negative,negative,negative,negative
grafik nya indah tapi kadang suka ngefrezze error dan koneksi tiba tiba terputus kadang suka susah buat ditouch padahal masih berfungsi lcd nya dan suka stag di epic untuk menaikkan tier nya harus berkorban bintang dulu entah hanya saya atau yang lain juga sedikit merugikan tapi alhamdulillah daripada tidak sama sekali terimakasih banyak memori penuh,negative,negative,positive,neutral,negative,positive,positive,positive
game enggak jelas seperti tarohan beruntung,neutral,positive,negative,negative,negative,negative,negative,negative
haha ezzz dek,positive,negative,negative,positive,negative,negative,positive,negative
nostalgia,neutral,negative,positive,neutral,neutral,positive,positive,positive
tidak bagus mc yang sekarang aneh bangt soalnya banyak yang dilebih lebihkan seperti commander karina terus yuki yang menggunakan ruby sumpah norak sekali berlebihan masa sun sama gatot yang dasarnya harga bintang terus kebetulan dapat bintang tapi bisa kalah sama ruby yuki bintang lebayyy sekali sumpah deh anehhh btw buat teman teman jangan download nih game sebelum karina sama yuki di nerf cuma sarana soalnya sudah terlanjur lebay,negative,positive,negative,negative,negative,negative,negative,negative
game keren bro,positive,negative,positive,positive,neutral,positive,positive,positive
tolong hapus comander wanwan miya layla lukas comander malas mikir kalau enggak mau di hapus tolong tambahkan untuk band di tier matik jadi,negative,positive,negative,negative,negative,neutral,negative,negative
belajar lagi nentuin matchnya minus sekali sistem acak mu,negative,positive,negative,negative,negative,negative,negative,negative
hapus comander miya layla wanwan mc gogo jadi tidak seru semenjak ada comander yang ikut campur dalam pertempuran,negative,positive,negative,negative,negative,neutral,negative,negative
seru tapi kadang adil kadang tidak adil,negative,positive,negative,neutral,negative,negative,negative,negative
game rusak game sampah dulu ok lah buat hilang ini jenuh dan gameplay nya pun seusai dan fair sekarang kacau damage tidak ada hero lineup susah benar benar sampah,negative,positive,negative,negative,negative,negative,negative,negative
sangatt menghibur,positive,negative,positive,positive,neutral,positive,positive,positive
ribet tidak konsisten senangi saja itu roll bawah,negative,positive,negative,negative,negative,negative,negative,negative
enakeun,neutral,negative,positive,positive,negative,negative,positive,positive
koplok,neutral,negative,negative,negative,neutral,positive,neutral,negative
naikin bintang nya susahturun nya gampang naik bintangskali turun bintang begitu terus main nya makin tidak jls sinergi pun susah dapat nya,negative,positive,negative,negative,negative,negative,negative,negative
seru sih cuman tidak enak nya saat kita masih nyawa nanti lawan yang mau nanti yang yang winpdhl yang sudah pada gede juga hro nyasering kenak comeback sama musuh saat di akhir,negative,positive,negative,negative,negative,negative,negative,negative
mulai tidak jelas nih game sudah ngikut mlbb mulai kelihatan pengaturannya saya malas ada aplikasi kembaran yang sama wataknya byee,negative,positive,negative,negative,negative,negative,negative,negative
bagus kembang lagi,negative,negative,positive,positive,neutral,positive,positive,positive
percuma tampilan di bagus²in kemenangan diatur sistem beruntung game sampah koneksi lag enggak jelas habis menang poin pasti kalau main lagi bakalan kalah pulang duluan min kali bye² lah game najis,negative,positive,negative,negative,negative,negative,negative,negative
tolong montoon perbaiki bug mau login kok sudah persen malah ditungguin enggak kebuka aplikasi nya masalh koneksi saya bagus mau dari wifi dan data masih sama tolong ya di perbaiki,negative,positive,negative,negative,negative,negative,neutral,negative
kalau mau membuat commander yang btl dikit ktl jangan yang ikut campur di chess board eh tel hero lepas tidak ada yang memegang kenapa seret sekali rollingan nya kntl,negative,positive,negative,negative,negative,negative,negative,negative
terimakasih sudah membuat senergi erudito,positive,neutral,positive,positive,neutral,positive,neutral,neutral
ok cakep tingkatkan lagi,negative,negative,positive,neutral,negative,positive,neutral,positive
game tolol bodohslalu kekalahan anak anjingggggggsenergi deh aktif masih kalah sama sinergi tidak ada bintang sklali pungame tidak guna,negative,positive,negative,negative,negative,negative,negative,negative
indosat mcgg memang cocok sih mau indosat signal bagus atau jelek ketika masuk di ini game beuuuuuhhhhh combo maut server mcgg auto menghubungkan ulang tapi keren sih jadi greget kalau signal server mcgg itu bisa rusak begini gameplay konyolpresentase hero kluar konyolbanyakin skin doangsignal serverukuran aplikasi terlalu besar untuk game yang tidak nyaman playing nya game rusak sekian dan uninstall,negative,positive,negative,negative,negative,negative,negative,negative
sangat baik saya suka main di nostalgia karena lebih suka pilihan hero dan sinerginya,negative,negative,positive,positive,neutral,positive,positive,positive
sangat tidak seru dengan hadirnya komander layla wanwan dan miya,negative,positive,negative,negative,negative,negative,negative,negative
lebih ditambah heronya kalau bisa semua hero mlbb masuk biar tambah variasi lagi pilihannya,negative,negative,positive,neutral,neutral,positive,positive,positive
ajig tidak mengasih beruntung mulu,negative,positive,negative,negative,negative,negative,negative,negative
game terbaik untuk mengisi waktu luang,positive,negative,positive,neutral,neutral,positive,positive,positive
tolong lah ini yuzong tidak masuk akal sekali darah tidak habis,negative,positive,negative,negative,negative,negative,negative,positive
game terbaik di dunia,positive,negative,positive,neutral,neutral,positive,positive,positive
mantappppp,neutral,negative,positive,positive,neutral,positive,positive,positive
sangat membingung kan dan musuhnya kuat kuat pada saat di rank epik,negative,negative,negative,negative,neutral,positive,negative,positive
game busuk tidak seimbang pick dan power,negative,positive,negative,negative,negative,negative,negative,negative
game scam bab,neutral,positive,negative,negative,negative,negative,negative,negative
game rusakk dari awal mulai sampai selesai ketemu musuk satu player mulu aneh bug semua ful sinergy kalah sama yang tidak aktif sinergy cacat game ini,negative,positive,negative,negative,negative,negative,negative,negative
optimalisasi lagi dong gamenya monton nih game masih agak lag di ponsel saya heheh,negative,positive,negative,neutral,negative,negative,negative,negative
kurang practice mode,negative,positive,negative,negative,negative,negative,negative,negative
commander yang masih menggunakan damage seperti laylamiyalucaswanwan tolong dihapus lah untuk apa judulnya chess tapi masih menggunakan damage dari commander mending main ml biasalah,negative,positive,negative,negative,negative,negative,negative,negative
tolong lah untuk fitur intip comander dihilangkan untuk apa dibuat namanya game strategi tapi untuk lawan yang kalah bisa intip jumlah hero kita sama saja kecurangan bukan strategi lagi ketika hero core kita akan menjadi bintang karena ada fitur intip jadi di ambil lawan hero kita alhasil dari posisi menang bisa jadi kalah,negative,positive,negative,negative,negative,negative,negative,negative
sngat bagus,negative,negative,positive,positive,neutral,positive,positive,positive
game strategi tidak membosankan,negative,negative,positive,positive,neutral,positive,positive,positive
lebih banyak mode misal seperti mode dimana cimeder bisa dapat dua keahlian,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
enggak jelas update nya kecewa sekali jir jadi enggak jelas begini,negative,positive,negative,negative,negative,negative,negative,negative
orang tua semua yang main wkwkwk,negative,positive,negative,negative,negative,negative,neutral,negative
lucu sih game nya,neutral,negative,positive,neutral,negative,positive,positive,positive
nice moonton i like itu,neutral,negative,positive,positive,neutral,neutral,neutral,neutral
walau jarangdpt hero enggak apa-apa buat ngisi kegabutn dikit,neutral,positive,negative,neutral,negative,positive,negative,negative
apikmenarik,neutral,negative,positive,neutral,neutral,positive,positive,positive
serumengasah otak karena bermain strategi enggak seperti sebelah banyak dark systemnya,negative,positive,negative,positive,negative,negative,negative,negative
moba versi catur sudah sangat ok cuma terlalu banyak hero kurangi saja heronya tingkatkan sinergi,negative,positive,negative,neutral,negative,positive,negative,negative
malas ah,negative,positive,negative,negative,negative,negative,negative,negative
akun saya hilang,negative,positive,negative,negative,negative,neutral,negative,negative
kalau menjual hero di bintang atau kasih peringatan agar tidak terjual,negative,positive,negative,negative,negative,neutral,neutral,neutral
semoga lebih baik lagi,negative,negative,positive,neutral,neutral,positive,positive,positive
soalnya gemenya seru,negative,negative,positive,positive,neutral,positive,positive,positive
singkat padat ya keren lah game ini,positive,negative,positive,neutral,neutral,positive,positive,positive
karena game nya seru tidak ngebosenin dan pokoknya deh best lah yang saya tidak suka banyak roll bawah,negative,negative,positive,positive,neutral,positive,positive,positive
pelit,negative,positive,negative,negative,negative,negative,negative,negative
menghibur waktu sengang,positive,negative,positive,neutral,neutral,negative,positive,positive
membanyaki event biar makin rame,negative,negative,positive,positive,negative,neutral,negative,positive
magic chess itu ada lah game ter keren sedunia,neutral,negative,positive,positive,neutral,positive,positive,positive
sangat menghibur sodara,neutral,negative,positive,positive,neutral,positive,positive,positive
