content,clean_for_labeling
"update terbaru bugnya jelek banget,gak bisa pilih mode,downloadpun gak jalan"" jadi gak bisa dimainin",update terbaru bugnya jelek bangetgak bisa pilih modedownloadpun tidak jalan jadi tidak bisa dimainin
"ini game gacha bukan game strategi, kalo hero lo bagus lo menang. mending hapus aja kategori strateginya",ini game gacha bukan game strategi kalau hero lo bagus lo menang mending hapus saja kategori strateginya
"Gam pilih kasih, gk usah d instal delete aja",gam pilih kasih tidak usah di install delete saja
"update terus,, setiap 2 hri update,, ngabis²in kuota aj.. game laknat",update terus setiap hari update ngabis²in kuota saja game laknat
seru bet on ol,seru sekali on ol
"Nih game ngawur banget, waktu nyusun, beli hero cuman 30 detik, itu pun harus fasthand, gw dapet 10 eru kalah karna waktu habis, belum sempet naruh hero, tolong di perbanyak waktunya untuk masang hero / membeli",nih game ngawur sekali waktu nyusun beli hero cuman detik itu pun harus fasthand saya dapat eru kalah karena waktu habis belum sempat naruh hero tolong di perbanyak waktunya untuk masang hero membeli
ahahhahaaa game burix's,ahahhahaaa game burixs
game seru banget pliss,game seru sekali pliss
kalo bisa di mainin offline itu enak #bismiilllah di baca #fyp bg monton #semoga monton sehat selalu di tambahin rejekinya #montoon baik,kalau bisa di mainin offline itu enak di baca bang monton monton sehat selalu di tambahkan rejekinya baik
putur semakin keren,putur semakin keren
Habis update malah reload di logo terus gak bisa masuk aplikasi,habis update malah reload di logo terus tidak bisa masuk aplikasi
admin magic cash gogo saya tidak bisa login terus berhenti loding awal. ini apa ya sebabnya,admin magic cash gogo saya tidak bisa login terus berhenti loding awal ini apa ya sebabnya
sangat tidak jelas ketika mencari Hero bintang tiga malah ga dapat dapat.,sangat tidak jelas ketika mencari hero bintang tiga malah tidak dapat dapat
seru sekaleee. biasa main ML. pindah ke mcgg. hha,seru sekaleee biasa main ml pindah ke mcgg hha
"itu bnerin tars pdhal udh satu lagi mau lv 3 mlah kluar hero lain, game konyol😮‍💨",itu bnerin tars padahal sudah satu lagi mau lv malah kluar hero lain game konyol
pada saat ngeban bukan suara terbanyak yang dipilih melainkan ban secara acak dan tidak adanya keseimbangan sinergi,pada saat ngeban bukan suara terbanyak yang dipilih melainkan ban secara acak dan tidak adanya keseimbangan sinergi
Game kon*********,game kon
SINERGY DOOWSDOM TOLONG DI NERF LAGI JANGAN SINERGY BARU YG JADI OP,sinergy doowsdom tolong di nerf lagi jangan sinergy baru yang jadi op
Sangar seru,sangar seru
good job developer,good job developer
damage Commander karie turun kan min ga ngotak damage nya,damage commander karie turun kan min tidak ngotak damage nya
Kenapa hero 4 gold di kurangi setok nya sih bikin tambah susah roll atas,kenapa hero gold di kurangi setok nya sih membuat tambah susah roll atas
makin seru sih karna di pisah sama MLBB.,makin seru sih karena di pisah sama mlbb
"definisi game dark sistem, gada yang bener jir sistem kartunya",definisi game dark sistem enggak ada yang benar jir sistem kartunya
Kenapa ga bisa login.. Error kah???,kenapa tidak bisa login error kah
kenapa sekarang mcgogo susah cari heronya ya,kenapa sekarang mcgogo susah cari heronya ya
kurang seru mode custom practice dihilangkan....,kurang seru mode custom practice dihilangkan
udh di download luar dalam masa harus download ulang lagi paling mls ram masih gede pun,sudah di download luar dalam masa harus download ulang lagi paling mls ram masih gede pun
Tidak bisa masuk hanya sampai ditulisan magic chees go go terus kembali lagi 😬,tidak bisa masuk hanya sampai ditulisan magic chees go go terus kembali lagi
scam?! sekali lagi. SCAM?!!,scam sekali lagi scam
"gak jelas, sengaja bikin sinergi lebih susah sampe 10. musuh semua pada cepet 3 bintang 5 gold",tidak jelas sengaja membuat sinergi lebih susah sampai musuh semua pada cepat bintang gold
"setelah di update makin berat apk banyak leg"" gan",setelah di update makin berat aplikasi banyak leg gan
disuruh rating sama MC nya wkwk,disuruh rating sama mc nya wkwk
Balikin skin Bowo gua woy,balikin skin bowo saya woy
belum ada ling panggung tharz skil old skil 1 2 3 better then old generation,belum ada ling panggung tharz skil old skil better then old generation
cuma cari hero 3gold di slot level 7 heronya masih banyak juga kaga dikasih... dah gw roll ampe kering tuh gold,cuma cari hero gold di slot level heronya masih banyak juga kagak dikasih deh saya roll sampai kering tuh gold
"Sya memakai adroid versi 7.1.1 kenapa tidak bisa masuk hanya berputar"" di logo montoon saja",saya memakai adroid versi kenapa tidak bisa masuk hanya berputar di logo montoon saja
Sip mantap gg,sip mantap enggak
Game yang hanya mengandalkan keberuntungan.,game yang hanya mengandalkan keberuntungan
bug sistemnya tolong di perbaiki lagi,bug sistemnya tolong di perbaiki lagi
"setelah update terakhir tiba"" game tidak bisa di buka dan hanya stuck di logo montoon , penyimpanan ponsel masih banyak dan jaringan juga masih bagus",setelah update terakhir tiba game tidak bisa di buka dan hanya stuck di logo montoon penyimpanan ponsel masih banyak dan koneksi juga masih bagus
"Terlalu banyak sensor dalam ruang obrolan, meskipun itu kata2 yang normal tanpa ada unsur yang tidak2",terlalu banyak sensor dalam ruang obrolan meskipun itu kata yang normal tanpa ada unsur yang tidak
"makin ga jelas montoon, masak disuruh roll bawahh, stok hero bintang 4 di kurangi, makin males main,",makin tidak jelas montoon masak disuruh roll bawahh stok hero bintang di kurangi makin malas main
bagus joss,bagus joss
"game Tolol, ngabisin waktu doang.... konsep kaga jelas, Timing berubah ubah...",game tolol ngabisin waktu doang konsep kagak jelas timing berubah ubah
kurang bagus ga begitu menarik untuk skil comander nya masi bagusan yang versi lama .. kembalikan comander skil lama moonton,kurang bagus tidak begitu menarik untuk skil comander nya masih bagusan yang versi lama kembalikan comander skil lama moonton
bis pembaharuan ngk bisa dbuka,bis pembaharuan tidak bisa dbuka
sering bug ngak bisa di buka,sering bug enggak bisa di buka
Seneng ah gitu buat kalo lgih beres kerja main,senang ah begitu buat kalau lgih beres kerja main
gajelas update,enggak jelas update
"kocak servernya tiba² lag padahal pas log ke game lain lancar, mau relog malah gabisa ngestuck dilobby pdhal uda dapet herk bagus hadeh",kocak servernya tiba² lag padahal saat log ke game lain lancar mau relog malah enggak bisa ngestuck dilobby padahal sudah dapat herk bagus hadeh
setelah update terbaru game makin gak imbang. susah Hero yang di cari. kayak sengaja di kalahin. yang lain udah pada bintang 3 nyari level 2 aja susah. pdhal stock masih banyak heronya. kayak di sengaja biar kalah. aku saranin jangan pernah maen game punya moonton. gak bikin happy Mallah bikin strees,setelah update terbaru game makin tidak imbang susah hero yang di cari seperti sengaja di kalahin yang lain sudah pada bintang mencari level saja susah padahal stock masih banyak heronya seperti di sengaja biar kalah saya sarankan jangan pernah main game punya moonton tidak membuat happy mallah membuat strees
game burik..game ndak jelas...sistem yang masih tentukan menang kalah..pemain..buang buang waktu sama data saja,game burikgame tidak jelassistem yang masih tentukan menang kalahpemainbuang buang waktu sama data saja
Ngak bisa login setelah update,enggak bisa login setelah update
"perbaiki sistem nya muntun, kalo mau ratting *5",perbaiki sistem nya muntun kalau mau ratting
bagus Gud monton 👍🏻,bagus gud monton
baik disimpen buat cari bintang3 maupun diabisin untuk cari bintang 1 sama aja kagak hasil montoon kagak jelas,baik disimpen buat cari bintang maupun diabisin untuk cari bintang sama saja kagak hasil montoon kagak jelas
rate satu aja soalnya ngga di kasih 10 eru,rate satu saja soalnya enggak di kasih eru
"seru,ajari strategi",seruajari strategi
sayah suka,sayah suka
game kikir manipulasi,game kikir manipulasi
dikit dikit update gak jelas,dikit dikit update tidak jelas
TOLONG KEMBALIKAN MC YANG LAMAAAAA !!!!,tolong kembalikan mc yang lamaaaaa
Setelah update jadi tidak menanggapi terus. Device: LUNA G8,setelah update jadi tidak menanggapi terus device luna enggak
"hilang mulu datanya, apa lagi update terus aneh",hilang mulu datanya apa lagi update terus aneh
kembalikan kaya yang dulu sekarang kurang rame kombo venom adakn lagi,kembalikan seperti yang dulu sekarang kurang rame kombo venom adakn lagi
JANGAN AFDET Mulu dong MONTOON Lo pikir kouta gratisss,jangan afdet mulu dong montoon lo pikir kouta gratisss
cihuyyy ☕🔥,cihuyyy
"update mulu aplikasinya, aduh developernya ini gimana sih, hampir tiap bulan update terus. Ukuran updatenya gede lagi.",update mulu aplikasinya aduh developernya ini bagaimana sih hampir tiap bulan update terus ukuran updatenya gede lagi
good game tapi bikin lupa waktu 😭,good game tapi membuat lupa waktu
kangen MC satu aplikasi dengan Ml lagi kasian player yg hp nya pada lemot,kangen mc satu aplikasi dengan ml lagi kasihan player yang ponsel nya pada lambat
saya sangat suka bgt game nya. tetapi semenjak update ini semakin susah mendapat sinergi yang sama. kayak dipersulit. bahkan kadang rank nya suka tidak sesuai. masa GM bertemu dengan epic atau legend ketemu epic tolong ga sinkron bgt. dan untuk role tolong diperbaiki agar lebih mudah didapatkan.,saya sangat suka sekali game nya tetapi semenjak update ini semakin susah mendapat sinergi yang sama seperti dipersulit bahkan kadang rank nya suka tidak sesuai masa gm bertemu dengan epic atau legend ketemu epic tolong tidak sinkron sekali dan untuk role tolong diperbaiki agar lebih mudah didapatkan
kebanyakan apdet parah,kebanyakan apdet parah
"please lah , ini tidak real adu strategi lagi lebih adu keberuntungan dapat card , sama dapat luckybox ny alangkah lebih fair tidak ush ada buff kartu dan lucky box nya , biar fair mikir semua gimana nyambungin sinergi",please lah ini tidak real adu strategi lagi lebih adu keberuntungan dapat card sama dapat luckybox nya alangkah lebih fair tidak usah ada buff kartu dan lucky box nya biar fair mikir semua bagaimana nyambungin sinergi
asik klo gk ketemu miya/wan²/lukas,asik kalau tidak ketemu miyawan²lukas
"game nya keren, bisa buat menghilangkan stress daripada yg satunya malah bikin stress, yg penting di bawa fun aja, gamenya juga seru yg susah cuma dapet hero b3 tapi dari segi lainnya ini game sudah bagus",game nya keren bisa buat menghilangkan stres daripada yang satunya malah membuat stres yang penting di bawa fun saja gamenya juga seru yang susah cuma dapat hero bintang tapi dari segi lainnya ini game sudah bagus
game asu drak sytem nya sama kyak game moba nya susah jdikan sinergi nya,game anjing drak sytem nya sama seperti game moba nya susah jdikan sinergi nya
sangat baik dan menenangkan,sangat baik dan menenangkan
cocok buat game santai gk terlalu santai sih,cocok buat game santai tidak terlalu santai sih
game ini sangat bagus aku ingin karakter popol dan kupa dan Hero hayabusa,game ini sangat bagus saya ingin karakter popol dan kupa dan hero hayabusa
"game yang menguras waktu, apalagi setelah update jnj, sinyal tiba2 down, padahal pake wifi ga ada kendala sama sekali saat main game apapun kecuali mcgg ini..",game yang menguras waktu apalagi setelah update jnj sinyal tiba down padahal menggunakan wifi tidak ada kendala sama sekali saat main game apapun kecuali mcgg ini
game nya seru suka banget tidak membosankan,game nya seru suka sekali tidak membosankan
bagusss coyy kalian wajib cobain deh,bagus coyy kalian wajib cobain deh
"wkkwkww bug data,manabisa gitu woy",wkkwkww bug datamanabisa begitu woy
"game nya udah bagus, tapi bisa tambahin fitur kalo sehabis selesai game kita bisa lihat/ cek akun orang yang kita lawan ga cuman add doang",game nya sudah bagus tapi bisa tambahkan fitur kalau sehabis selesai game kita bisa lihat cek akun orang yang kita lawan tidak cuman ada doang
Bug jaringan nya gak tahan tolong yg tegas,bug koneksi nya tidak tahan tolong yang tegas
"aku dari dulu suka magic chees di ml, dan mainin udah dari masih ada combo kaktus gitu, tapi saat main disini malah gamenya diarahin untuk combo yang viral gitu, jadi saat pemilihan hero heronya muncul banyak meski kita nggak main combo tersebut, karena jika main combo tersebut maka akan bentrok sama tim lawan, dan untuk naik levelnya sangat tidak masuk akal karena terlalu mahal dan aku jarang bisa dapat b3 karena combo tersebut. malah makin kesini malah makin lag saat mau ambil hero.",saya dari dulu suka magic chees di ml dan mainin sudah dari masih ada combo kaktus begitu tapi saat main disini malah gamenya diarahin untuk combo yang viral begitu jadi saat pemilihan hero heronya muncul banyak meski kita enggak main combo tersebut karena jika main combo tersebut maka akan bentrok sama tim lawan dan untuk naik levelnya sangat tidak masuk akal karena terlalu mahal dan saya jarang bisa dapat bintang karena combo tersebut malah makin kesini malah makin lag saat mau ambil hero
Geme MCGG sangat menarik membuat saya tidak bisa berhenti memainkannya,game mcgg sangat menarik membuat saya tidak bisa berhenti memainkannya
beri aku hero yang aku butuhkan,beri saya hero yang saya butuhkan
gak kok seten Hero yah ajing 🤓,tidak kok seten hero ya ajing
"sistem matching ga adil, dikasih musuh yang lebih jago terus",sistem matching tidak adil dikasih musuh yang lebih jago terus
"Kembalikan Claude, kenapa di hapus",kembalikan claude kenapa di hapus
"Mengasyikkan untuk mengisi waktu luang dan ga perlu banyak mekanik, gameplaynya oke, pokoknya rekomendasi banget buat dicoba",mengasyikkan untuk mengisi waktu luang dan tidak perlu banyak mekanik gameplaynya ok pokoknya rekomendasi sekali buat dicoba
BERI SAYA HERO 5 GOLD YANG SAMA SAAT BERMAIN BUSS,beri saya hero gold yang sama saat bermain buss
"Saya suka MAIN gamenya, bukan suka NONTON gamenya. Jadi, BERHENTI mengalihkan menjadi penonton, kalau sudah game over ya sudah, jangan otomatis kalian alihkan jadi penonton. Ingat, saya mau MAIN, bukan mau NONTON.!!!",saya suka main gamenya bukan suka menonton gamenya jadi berhenti mengalihkan menjadi penonton kalau sudah game over ya sudah jangan otomatis kalian alihkan jadi penonton ingat saya mau main bukan mau menonton
banyak update tapi bukan makin bagus makin jelek ga kayak magic cest sebelumnya,banyak update tapi bukan makin bagus makin jelek tidak seperti magic cest sebelumnya
"gak ada di apa2in tapi selalu update ulang/restart ulang , kesel bangettt mana kalo mengunduh banyak mengunakan paket dan waktu yg lama!",tidak ada di apai tapi selalu update ulangrestart ulang kesel sekali mana kalau mengunduh banyak mengunakan paket dan waktu yang lama
kalo update unduh data nya jangan dari nol lagi dong buang buang kuota aja mana lama lagi,kalau update unduh data nya jangan dari nol lagi dong buang buang kuota saja mana lama lagi
kok setiap updet harus download lagi data² nya,kok setiap updet harus download lagi data² nya
bagus buat ngisi waktu luang atau pas ngumpul ama teman² bisa mabar,bagus buat ngisi waktu luang atau saat ngumpul sama teman² bisa mabar
"magic chess cacat cuman beberapa hari gk login masa suruh download dri 0 lgi,gk jeles,tolong di perbaikinn lgi,magic chess nya monton cacat",magic chess cacat cuman beberapa hari tidak login masa suruh download dari lgigk jelestolong di perbaikinn lgimagic chess nya monton cacat
Cukup buat ngisi waktu pas istirahat kerja,cukup buat ngisi waktu saat istirahat kerja
update terbaru bener2 Update terburuk sejauh ini,update terbaru benar update terburuk sejauh ini
wah gold rush kembali makasih monton,wah gold rush kembali terima kasih monton
"seru banget mainin nya, aku suka sinergi Doomswor",seru sekali mainin nya saya suka sinergi doomswor
mic nya kadang masih sering putus,mic nya kadang masih sering putus
suka bug blessing ga bisa di ubah sama suka ngtrol hero nya,suka bug blessing tidak bisa di ubah sama suka ngtrol hero nya
kasih hadiahnya,kasih hadiahnya
OKEEEEEEEEEEEE,okeeeeeeeeeeee
lebih adil game play nya dr pada mlbb kalau dpt tim anomali,lebih adil game play nya dari pada mlbb kalau dapat tim anomali
"seru bgt game ini. saran sih. kalau bisa pas Hero bintang 1 mending g usah pake skin, baru bintang 2 tmbh silkin biasa, trus bntg 3 pakein yg bagus skinnya. mudah""an di baca. trmksh.",seru sekali game ini saran sih kalau bisa saat hero bintang mending enggak usah menggunakan skin baru bintang tambah silkin biasa terus bntg pakein yang bagus skinnya mudahan di baca trmksh
pertahankan mode nostalgia nya. saya suka itu,pertahankan mode nostalgia nya saya suka itu
setiap kali update harus download data lebih dari setengah versi lama apakah karna kontennya semua baru atau bagaimana?,setiap kali update harus download data lebih dari setengah versi lama apakah karena kontennya semua baru atau bagaimana
kurangin scamm roll nyaa,kurangi scamm roll nya
lebih suka yg ini kaya spt pas masih gabung di mlbb,lebih suka yang ini seperti seperti saat masih gabung di mlbb
apalah blessing ny ga bisa di gunakan setelah update,apalah blessing nya tidak bisa di gunakan setelah update
kurang apa ya. gak tau sih kurang apa,kurang apa ya tidak tahu sih kurang apa
"Habis kelar match tiba-tiba updet ""Versi tidak lagi valid, silahkan keluar"" Rabu/23/7/2025. 10.57am",habis kelar match tibatiba updet versi tidak lagi valid silahkan keluar rabu sama
match making blm seimbang,match making belum seimbang
asyik kita menang..,asyik kita menang
toxic,toxic
game rusakkk masa Iyah gua udah download data di suruh download data ngulang kocak ni game developer nya ke gimana bisa bikin game bener kaga,game rusakkk masa iya saya sudah download data di suruh download data ngulang kocak nih game developer nya ke bagaimana bisa membuat game benar kagak
"musuhnya banyak cheaternya jadi males, baru 2kali pertandingan udah langsung 2 bintang, ada malah 3 bintang 4 hero gak masuk akal,...",musuhnya banyak cheaternya jadi malas baru kali pertandingan sudah langsung bintang ada malah bintang hero tidak masuk akal
"UNTUK YG SUKA MENGASAH OTAK , INI GAME REKOMENDASI BANGET 👍🏻",untuk yang suka mengasah otak ini game rekomendasi sekali
rindu sinergi kangkung🫡,rindu sinergi kangkung
okeh lah ya buat yang malas login Ml seperti ku,okeh lah ya buat yang malas login ml seperti ku
sediain lah vitur ganti akun yaelah,sediain lah vitur ganti akun yaelah
game rusak jngan pernah main ini game,game rusak jangan pernah main ini game
game cacad masih banyak kekurangan,game cacad masih banyak kekurangan
well,well
Gacorr,gacorr
"sangat bagus tapi sangat susah dapat skin "" menarik yg gratis mohon di support biar Tamba banyak peminatnya kalo bole saran😇",sangat bagus tapi sangat susah dapat skin menarik yang gratis mohon di support biar tamba banyak peminatnya kalau boleh saran
uwapik,uwapik
BALIKIN GOLD RUSH!!!!!!,balikin gold rush
"sama sama montod jadi gak jauh beda, bedanya main ni game tergantung mood developer",sama sama montod jadi tidak jauh beda bedanya main nih game tergantung mood developer
ga guna kalah cuma sama 1 hero doang,tidak guna kalah cuma sama hero doang
game nya asik dan menyebakan,game nya asik dan menyebakan
GAME TOLOL. GAME SETTINGAN,game tolol game settingan
"saran saya tolong adain fitur offline nya soalnya banyak orang yg tidak berkecukupan untuk membeli paket data , ngga apa"" sama computer juga semoga kedepannya fitur ini di ada kan biar player yang tidak berkecukupan bisa mengasah sekil mereka dengan adanya fitur offline ini🙏🙏🙏🤲🤲🤲",saran saya tolong mengadakan fitur offline nya soalnya banyak orang yang tidak berkecukupan untuk membeli paket data enggak apa sama computer juga semoga kedepannya fitur ini di ada kan biar player yang tidak berkecukupan bisa mengasah sekil mereka dengan adanya fitur offline ini
mencoba semoga akun ku hoki,mencoba semoga akun ku beruntung
"aneh gak logis,Hero 5 gold kalah sama 1 gold",aneh tidak logishero gold kalah sama gold
Comandder nya bagus Daan pasif guin enak,comandder nya bagus daan pasif guin enak
"pantesan rate game nya jelek, orang maen pun dikasi rate hero jelek, di perbaiki sistem nya uda LV 9 hero ga muncul muncul",pantesan rate game nya jelek orang main pun dikasi rate hero jelek di perbaiki sistem nya sudah lv hero tidak muncul muncul
"game gaje bikin pusing naik turun bintang,nyari Hero yang dibutuhin susah banget mending MC dulu dari pada sekarang",game enggak jelas membuat pusing naik turun bintangnyari hero yang dibutuhin susah sekali mending mc dulu dari pada sekarang
monton 4nj1ng ketemu musuh nabrak sinergi terus ga pernah dikasi menang selalu aja ada yang nabrak,monton njng ketemu musuh nabrak sinergi terus tidak pernah dikasi menang selalu saja ada yang nabrak
"Bisa bisa nya akun gua di login orang, trs gua ga bisa login. padahal akun nya udah nyantol sama akun moonton mobile legend gua. perbaikin lg dong!!! masa bisa keretas sama org lain!!!!",bisa bisa nya akun saya di login orang terus saya tidak bisa login padahal akun nya sudah nyantol sama akun moonton mobile legend saya memperbaiki lagi dong masa bisa keretas sama orang lain
cuman kurang hadiah,cuman kurang hadiah
kenapaaa selalu kalau darah tingal sedikit ketemu yang ber api api tolong segera di perbaiki,kenapaaa selalu kalau darah tinggal sedikit ketemu yang ber api api tolong segera di perbaiki
gblk gaada yg nabrak ttp gk D kasih heronya,gblk enggak ada yang nabrak tetap tidak di kasih heronya
"dark system banget ya Allah, jangan install game ini ya teman2 kalo kalian ga mau kalian banting hp kalian",dark sistem sekali ya allah jangan install game ini ya teman kalau kalian tidak mau kalian banting ponsel kalian
"jngn event Mulu yg di urusin,hadiah dari event gitu-gitu doang jelek lagi,mending urus buat pengembangan game play,keseimbangan dan Hero juga sinergi nya yang seimbang,masing-masing harus ada Hero counter nya biar adil dan seimbang sama kuat,ini mah berat sebelah antara Hero dengan Hero ada yang kuat banget,sedangkan di toko pemilihan Hero terbatas terus di up muncul Hero yang lemah pula,gimana si, event Mulu jualan Mulu di urusin",jangan event mulu yang di urusinhadiah dari event gitugitu doang jelek lagimending urus buat pengembangan game playkeseimbangan dan hero juga sinergi nya yang seimbangmasingmasing harus ada hero counter nya biar adil dan seimbang sama kuatini mah berat sebelah antara hero dengan hero ada yang kuat bangetsedangkan di toko pemilihan hero terbatas terus di up muncul hero yang lemah pulagimana sih event mulu jualan mulu di mengurusi
game banyak strategi,game banyak strategi
game monyet untuk monyet,game monyet untuk monyet
jangan di download game nih yaa..gak guna..emosi doang yg ada..,jangan di download game nih yaagak gunaemosi doang yang ada
game terbaik lebih bail daripada MobileLegend Mobile Legend adahal game sampah beda dengan mc gg gamaenya kerennn,game terbaik lebih bail daripada mobilelegend mobile legend adahal game sampah beda dengan mc enggak gamaenya keren
nah baru di update kn seru dri pda yg kmarin mode nya new kek apa aja di ubah ubah.,nah baru di update kan seru dari pada yang kmarin mode nya new seperti apa saja di ubah ubah
game judi harus di blacklist dari play store,game judi harus di blacklist dari play store
please moonton ga usah ganti ganti lagi sinergy nya yaaa 🙏🙏,please moonton tidak usah ganti ganti lagi sinergy nya ya
yerbaik,yerbaik
lumayan menarik bagi saya 🙋,lumayan menarik bagi saya
"Susah dapet Chess Point, ga kayak dulu tiap pertandingan dapat Battle Point",susah dapat chess point tidak seperti dulu tiap pertandingan dapat battle point
coba benerkan masalah jaringan daripada nanti bnyk yg merasa males maen lg,coba benerkan masalah koneksi daripada nanti banyak yang merasa malas main lagi
okee kereen,okee keren
ilangin rasa jenuhh,ilangin rasa jenuhh
nerf komentar miya sama wanwan montok,nerf komentar miya sama wanwan montok
your system suck's,your sistem sucks
kecilkan lagi memorinya,kecilkan lagi memorinya
Sangat seru dan mililikan👍,sangat seru dan mililikan
"lumayan lah buat ngilangin stres, bikin kangen magic chess dulu",lumayan lah buat ngilangin stres membuat kangen magic chess dulu
"Game aneh ada aja perubahannya, udh tau sekarat pas lawan top 1 trus kalah, malah ketemu clone dia lagi.. lucu lucu, ga ketebak ni game 😂😂",game aneh ada saja perubahannya sudah tahu sekarat saat lawan top terus kalah malah ketemu clone dia lagi lucu lucu tidak ketebak nih game
maaf saya waktu dapet event Ling serene plume di magic chess ini tapi knpa ya untuk skin yng sudah di dapatkan tidak bisa di pakai mohon penjelasannya ( waktu itu dapet tapi waktu pakai skin seperti tidak dapet skin nya tersebut @magic ches,maaf saya waktu dapat event ling serene plume di magic chess ini tapi kenapa ya untuk skin yang sudah di dapatkan tidak bisa di pakai mohon penjelasannya waktu itu dapat tapi waktu pakai skin seperti tidak dapat skin nya tersebut ches
pokonya seru banget,pokoknya seru sekali
ter baik,ter baik
"benerin server lu pemai, masa abis update server nya erorr pemaiemang game satu ini",benerin server lu pemai masa habis update server nya erorr pemaiemang game satu ini
"bagusss sih min, tapi tolong evaluasi dri kemunculan hero, skill commander, sama efisiensi card nya euy, membantu sih, tapi support card buat sinergi tuh kurang min, kurangg euy",bagus sih min tapi tolong evaluasi dari kemunculan hero skill commander sama efisiensi card nya euy membantu sih tapi support card buat sinergi tuh kurang min kurangg euy
sekarang mau update susah tolong diperbaiki min,sekarang mau update susah tolong diperbaiki min
"bosookkkkk, kikir",bosookkkkk kikir
update resource baru malah stuck di logo update gara2 gagal mengunduh resource aneh,update resource baru malah stuck di logo update gara gagal mengunduh resource aneh
"Saya bermain dengan teman saya di chat global tpi pas habis match malah loading lama bgt, pas masuk malah di suru Announcement download update pdhl di play sore ga lagi update gmna sih, gw nunggu lama bgt buat update gada tuh",saya bermain dengan teman saya di chat global tapi saat habis match malah loading lama sekali saat masuk malah di suruh announcement download update padahal di play sore tidak lagi update bagaimana sih saya nunggu lama sekali buat update enggak ada tuh
mantap mantap mantap mantap mantap,mantap mantap mantap mantap mantap
mntab,mntab
bisa buat pengganti slot bikin nagi jugak,bisa buat pengganti slot membuat nagi juga
"game dancok, sekalian gk usah pakai hero. hero muncul kagak pernah jelas",game dancok sekalian tidak usah pakai hero hero muncul kagak pernah jelas
"Comender tharz apaan dah jadi busuk kek gitu kalo ngga niat apus aja comendernya,udah damage nggak jelas 10 sinergi menang kalah ama 6 sinergi.",comender tharz apaan deh jadi busuk seperti begitu kalau enggak niat hapus saja comendernyaudah damage enggak jelas sinergi menang kalah sama sinergi
game nya baguss mudah banget juga saya sangat senang bermain game ini,game nya bagus mudah sekali juga saya sangat senang bermain game ini
mantap untuk mengisi waktu kosong,mantap untuk mengisi waktu kosong
jangan hapus Astro,jangan hapus astro
"game kontil , gk pernah dikasih menang",game kontil tidak pernah dikasih menang
ini mah bukan game strategi tapi game keberuntungan kalo beruntung dalet hero bisa jadi menang kalo ga udah pasti kalah tay,ini mah bukan game strategi tapi game keberuntungan kalau beruntung dalet hero bisa jadi menang kalau tidak sudah pasti kalah tahi
game wajib topup.... g topup jgn berharap naek level..... maen cm naek turun... naek turun... dah kaya ingus....,game wajib topup enggak topup jangan berharap naik level main cuma naik turun naik turun deh seperti ingus
"game scam, 99 eru keluar hero ampas semua, gaada yang masuk sinergi nya, malah bikin blunder, ngumpulin nya setengah mati",game scam eru keluar hero ampas semua enggak ada yang masuk sinergi nya malah membuat blunder ngumpulin nya setengah mati
perbaiki bug yang hero sama sama mati tapi bukanya seri malah salah satu kalah,perbaiki bug yang hero sama sama mati tapi bukanya seri malah salah satu kalah
seruuuu cuyyyyy,seruuuu cuyyyyy
semakin buruk jaringannya dan game playnya,semakin buruk jaringannya dan game playnya
games yg menarik.. bagus👍👍👍,games yang menarik bagus
permainan nyantai yg gak bikin tegang,permainan nyantai yang tidak membuat tegang
menghilangkan suntuk,menghilangkan suntuk
grafik nya kurang bagus perlu ditingkatkan dan efeknya,grafik nya kurang bagus perlu ditingkatkan dan efeknya
💕😍seru.. main nya bisa sambil ngerjakan yg lain... keren dah.......,seru main nya bisa sambil ngerjakan yang lain keren deh
"menurut aku game ini udh bagus bngt , cuman masih perbaikan di sinyal saja untuk lebih overaalll udh bgus , Ohh iya bagi yang bilang susah ini game atau dapat sinergi yang tidak sama dan apalah itu kalian yang dark sistem main kayak gini aja nggk bisa. apalagi main game moba tambah susah kalian teruntuk player yang bodoh ...!!!",menurut saya game ini sudah bagus sekali cuman masih perbaikan di sinyal saja untuk lebih overaalll sudah bagus oh iya bagi yang bilang susah ini game atau dapat sinergi yang tidak sama dan apalah itu kalian yang dark sistem main seperti begini saja enggak bisa apalagi main game moba tambah susah kalian teruntuk player yang bodoh
kadang2 layarnya berubah jadi biru semua,kadang layarnya berubah jadi biru semua
Game yg sanggat bagus dan tidak bosan,game yang sangat bagus dan tidak bosan
"udah suka banget sih tapiiiii ini kan game strategi ya kan menurut saya sangan kurang cocok jika ada comender comender yang masih menyerang hero kita kan butuh strategi skaligus mencoba keberunungan dalam setiap game nya menurut saya sangat tidak cocok apa bila vomender seperti halnya (layla,miya,wanwan,lukas dll yang menyerang hero)mereka hanya bermain dengan meletakkan hero saja sudah menang tuh kita yang usaha dapet hero bagus suda tusun duluan karna di tembak dari awal oleh comender"" tersbut",sudah suka sekali sih tapiiiii ini kan game strategi ya kan menurut saya sangan kurang cocok jika ada comender comender yang masih menyerang hero kita kan butuh strategi skaligus mencoba keberunungan dalam setiap game nya menurut saya sangat tidak cocok apa bila vomender seperti halnya laylamiyawanwanlukas dll yang menyerang heromereka hanya bermain dengan meletakkan hero saja sudah menang tuh kita yang usaha dapat hero bagus suda tusun duluan karena di tembak dari awal oleh comender tersbut
