Ulasan,Rating,Aspek,Sentimen
mantap gan,5,satisfaction,positive
kadang suka ngefrez kalau sudah selesai permainan tolong di perbaiki secepatnya,4,satisfaction,negative
hapus saja sekalian persentase kemunculan hero nya tidak guna roll di persentase paling tinggi kemunculan hero tidak muncul sisa hero masih banyak sinergi tidak nabrak dark sistem nya parah sekali bukan cuma sekali dua kali membuat malas main menjadi nya ngotak dikit lah,1,effectiveness,negative
mc go go tidak sebagus waktu masih gabung mlbb jadi aneh,1,satisfaction,negative
kecewa sudah punya akun di mlbb dan masuk ke mode mcgg kenapa tidak otomatis masuk harus masukin manual isi email pasword mlbb karena saya tidak ingat sandi akun mlbb,1,satisfaction,negative
ok magic chess sudah ok sekali deh,5,unknown,positive
game nya seruuuuuuu sekali deh,5,satisfaction,positive
lama lama membuat stres nih game kalah mulu,1,effectiveness,negative
asikk,5,satisfaction,positive
permainan sangat bagus dan baik untuk mengasah kemampuan anak dalam strategi dan taktik yang mau di mainkan dengan siapa harus siap,5,satisfaction,positive
permainanya seru dan asik,5,satisfaction,positive
untuk gameplay sih sudah bagus tapi kenapa setiap match baru di mulai tiba tiba re login lagi dari awal plisss tlng di benerin bug nya kerana sangat mengganggu segi kenyamanan sudah itu saja moga saja fi dengar developer nya,3,satisfaction,negative
bagus sangat menghibur sama buat uji mental kalau lagi bau,5,satisfaction,positive
sinyal dan sinyall bermasalah,2,effectiveness,negative
ngotak lah kalau kasih blessing sudah di reset seribu kali masih tetap sama kocak,1,satisfaction,negative
game membuat stres darah saya sudah sekarat malah di hadapin sama musuh yang paling kuat ta,1,satisfaction,negative
tidak bisa berkata lagi biar bintang yang berbicara,1,satisfaction,negative
a lama sekali download data pulang nge bug,3,satisfaction,negative
sampah sekali game ini sekarang the real game hokki skill enggak di berpengaruh di sini mau level duluan vs level kalau hero enggak keluar ya enggak akan muncul di shop bakalan tetap saja kalah sampah,1,effectiveness,negative
game gacha lucu sekali sudah mau fase hero yang saya menggunakan tidak muncul sementara hero musuh sudah bintang bukan cuma sekali tapi sudah berkali hero yang mau dipakai tidak muncul di shop card belum tentu cocok sama combo yang dipakai item muncul juga belum tentu cocok sama hero yang dipakai dan hal lain yang terlalu gacha saya kira bakal lebih baik dari magic chess ml ternyata lebih burukampas jadi saya hapus saja,1,satisfaction,negative
padahal musuh masih tapi bisa kali loh ketemu musuh yang sama dalam round round player round creep memang sengaja mau di membuat tooson moontod,1,satisfaction,neutral
keren abiz,5,satisfaction,positive
manarik,5,satisfaction,positive
game bagus polltapi menurut saya kurang dengan ketiadaan leaderboard,5,satisfaction,positive
eruditio tolong di nerf,5,effectiveness,neutral
game kntl tidak jelas combo tidak jelas ppk lah,1,unknown,negative
seruuuu game nya,5,satisfaction,positive
game rusak susah sekali dapat hero bintang sinergi yang menang itu saja di buat seimbang dong semua sinergi nya,1,satisfaction,negative
semakin kesini semakin susah untuk jadi faction untuk mendapatkan magic crystal yang sama juga sulit tolong perbaiki,5,satisfaction,negative
apalah ini gamenya kurang seru karena susah ketemu hero yang di butuhkan ada juga hero yang muncul gratis begitu agar makin kuat deh tapi malah membuat kalah seperti apalah malah mati karena menambah hero acak seperti popol dan kupa deh aneh sekali,1,satisfaction,negative
good job salam dari sena,5,satisfaction,positive
game kocak tinggal lagi bintang tapi malah tidak di kasih sudah di kecilin semua hero tapi tidak dapat sama sekali kocak sekali memang,1,satisfaction,negative
permainan ini sangat bagus saya suka,5,satisfaction,positive
ok lah kalau buat hiburan seru gamenya tidak membuat bosan,5,satisfaction,positive
woi moonton lebih adil dong tolong lah nerf roll bawah masa iya earlymid game kena damage kita yang roll atas bagaimana cara bertahan hidupnyapaok paok anak emasin saja itu roll bawah,1,effectiveness,negative
game scam php,1,satisfaction,negative
aplikasinya bagus tapi ada yang kurang mohon sedikit perbaiki,4,satisfaction,negative
makin ksini makin lumayan,5,satisfaction,positive
game paling tidak masuk di akalfull sinergi aktifhero gold bintang kalah dengan hero gold bintang,1,effectiveness,negative
sinyal tiba tiba hilang,1,satisfaction,negative
saya suka sama game nya tapi saya tidak suka sama orang yang buatnya begitu saja sih sakit yang buat,5,satisfaction,negative
rame bagus dan menarik,5,satisfaction,positive
gema nya burik masa sinyal normal tibatiba lag,1,effectiveness,negative
game yang sangat bagus untuk waktu luang,5,satisfaction,positive
bagus sihcma semenjak mc dipisahkan dengan mole banyak sekali perubahan mulai dari rank comender skil comendernya tidak seperti yang dulu ada tiga skil bahkan di revamp terlalu banyaksaran saya agar nyaman dan tidak bosan ganti sinergy barulah disetiap satu season atau dua seasonlah supaya penuh tantangan untuk player mcsekian terimakasih,5,satisfaction,positive
buruk tidak pernah di kasih kartu yang bagus lol,1,satisfaction,negative
jangan sinergi mulu yang dipikirkan saat update tapi perbaiki fitur lain yang masih banyak kurangnya misal sesudah selesai match tidak bisa lihat profil lawan ban commander harus yang paling banyak di vote fiturfitur di profil seperti fotoalbum hadiah dll,1,satisfaction,negative
saya kasih bintang karena aurora chibi hot sekali gilakk,5,satisfaction,positive
game ampas mati saja anjing,1,satisfaction,negative
game anjing,1,unknown,negative
game buruk mengandalkan keberuntungan dasar game buruk saya kasih bintang karena kamu tidak memberi saya cyclops bintang,1,effectiveness,negative
bagus sekali commander nya yang imut dan grafik yang perfect,5,satisfaction,positive
kasih waktu jangan dtik lah,1,satisfaction,negative
game ampasssssssss ammpassssssssssss ampasssssssssss sampahhhhh,1,satisfaction,negative
mboh tidak roh apik opo ora,5,satisfaction,negative
tolong lah moonton saat di late game tambahkan waktu nya jadi menit kurang lebih soalnya di late game pemain pasti alin untuk hero utama nyanah saya kejadian hero natan saya sudah bintang tapi sudah keburu mulai al hasil tidak sempat dan saya kalah,3,satisfaction,negative
game gacha tidak jelas saya mencari lunox di level tidak dapetdapet padahal masih utuh di shop semoga mcgg cepat tutup dan tidak ada yang top up,1,effectiveness,negative
game suantai,5,satisfaction,negative
game membuat kita untuk mengambil resiko sebesar apapun,5,satisfaction,negative
game lawak dark sistem tidak berhenti skill overpower tidak di nerf unistall saja lah bosenin,1,satisfaction,negative
aplikasi game ini sangat bagus,5,satisfaction,positive
game taeeeeee,1,unknown,negative
game ampas up mahal heronya busuk,1,effectiveness,negative
kalau buat event di tiktok jangan di tarik lagi lah uangnya baby,1,satisfaction,negative
epic susah sekali ketemu hero,3,effectiveness,negative
sistem gacha hero yang benar lah kasih hero yang di butuhin,1,effectiveness,neutral
game rusak kalah menang diatur developer,1,effectiveness,negative
bagus game banyak yang main kendala cuma di koneksi lemah suka menghubungkan saat main,3,satisfaction,negative
sistem manipulatif sistem pemilihan hero yang bodoh,1,effectiveness,negative
huh,5,satisfaction,negative
mengecewakan sudah up ke level ngincer hero yang di cari cari susahudah bosan begitu begitu saja sampai lose trek kali memang dasar,2,satisfaction,negative
sering lag ping selalu tinggi kali kemenangan kali kekalahan sistemnya seperti slot di awal dikasih kemenangan setelah itu kalah,1,satisfaction,negative
bagus sekali menjadi peng main lagi,5,satisfaction,positive
game seru saya jadi kecanduan dan tidak kerja,5,satisfaction,negative
joss penak yakin,5,satisfaction,positive
game ampas sinyal bagus di membuat lag mulu,1,effectiveness,negative
game ok cuma saat mau ke ini game malah relog tolong dibetulkan tindakan ini sangat membuat kesal,2,effectiveness,negative
kurangi damege hero gold bintang lah,1,satisfaction,negative
matchmaaking sudah dicancel tapi masih lanjut makin tidak jelas scroll heronya fase ban tidak relate dengan voting makin ke sini makin menyebalkan main mcgg,1,effectiveness,negative
makin ke sini makin enggak jelas sulit di mengerti update yang sekarang,1,satisfaction,negative
sangat rekomendasi untuk bintang,1,satisfaction,positive
gamenya bagus tapi kadang mencari hero yang di butuhkan susah kena dark sistem,5,satisfaction,negative
enak buat nemenin waktu senggang,5,satisfaction,positive
game banyakan dark sistem taiiilah,1,unknown,negative
seru adrenalin saat transisi,5,satisfaction,positive
game nya bagus sekali dan juga seruuuuu,5,satisfaction,positive
game panteq selalu garpu bijik,1,unknown,negative
terlalu mudah sekarang match nya haha,5,satisfaction,negative
banyak bug nya dan tidak jarang tidak bisa di tekan,1,satisfaction,negative
game makin kesini makin tidak jelas kadang hero yang dipakai susah sekali keluarnya setelah di fresh seperti tidak adil dalam permainan makin terlihat ini game hokyan mau sebaik apapun strategi nya kalau moonton pelit tidak akan menang,1,effectiveness,negative
parah kali kau moonton mengasih hero tak pernah bagus apalagi di mode gold rush,1,satisfaction,negative
rolling tidak jelas kurang hero lagi biar bintang teh di tarok kemana padahal di shop masih sisa,1,satisfaction,negative
cobain magic cas gogo di jamin ketagihan saking serunya,5,satisfaction,positive
punya saya mcgg nya gampang mental monton,4,satisfaction,negative
tidak bisa berkata kata ini game enak sekali,5,unknown,negative
karena bisa ngalahin pak salim,5,unknown,positive
game ringan sih katanya tapi kok saat main lag patah patah mulu ya terus kadang suka berhenti sendiri gamenya tolong di perbaiki dong biar tidak berhenti sendiri,1,satisfaction,negative
klihatan sekali susah mencari hero biar menjadi bintang at trkadang yang semangat main malah di susahkn mencari hero yang sama pemain yang jarang main malah di manjakan dengan gampang mencari hero yang sama harus nya seimbang dong masa iya sudah lvl at mencari hero yang sama sampai koin habis banyak kadang dapat lebih banyak tidak,2,satisfaction,negative
average is good but my suggestion ada chess tadi please we chess tadi fan really miss that feature,5,satisfaction,neutral
enak saja santai,5,satisfaction,positive
sangat meresahkan setiap saya sudah mendapatkan sinergi yang dibutuhkan saya jarang mendapatkan salinan hero untuk menaikkan bintangnya sedangkan musuh saya sudah banyak yang dapat bintang bahkan bintang walaupun saya sudah merefres shop berkalikali masih tidak mendapatkannya mohon perhatian pihak developer karena yang seperti ini sangat mengganggu keseimbangan pemainpemain lainnya terimakasih,1,satisfaction,negative
game nya makin lama makin ngebosenin sinerginya ada yang jelek sekali ada yang bagus sekali sudah bisa di tebak komender ada yang tidak ada berfungsi untuk main di ingame mending hapus atau di ubah skillnya sama saran sedikit buatkan mode yang bisa main tag taem biar bisa di ingame ada skill komender yang di pakai sama teman contoh a pakai popol sih bintang pakai kagura dalam satu ini game biar seru mohon di dengar moonton,3,satisfaction,negative
ngapa layla di nerf baru saja dapat skin aspirant dahal tidak op op sekali ngapa layla di nerf dahal baru dapat skin aspirant tidak op dia,4,effectiveness,negative
anjying,1,unknown,negative
hero buff nerf mulu cape saya ngikuti terus hero yang awal balance malah di buff kan kocak sebelum nya wanwan sekarang mia mau mu apa sih anjir cape saya,4,effectiveness,negative
mantap pisan min,5,satisfaction,positive
tidak bosenin game bagus,5,satisfaction,positive
bagus juga tapi musuh ya harus seimbang lah monton,5,satisfaction,positive
mantppp,5,satisfaction,positive
game plagiat tidak bagus dan tidak kreatif bintang masih kebanyakan buat nilai nya,1,satisfaction,negative
game broken,1,unknown,negative
bagus asyik dan santai,5,satisfaction,positive
lucu tidak jelas pilih kasih,1,effectiveness,negative
tidak seperti dulu dulu seperti tidak,1,unknown,negative
game rusak game cacat player yang sudah juara di game slnjutnya bklan di buat kalah oleh sistem dan tidak mndptkan point mulai susah mendapatkan hero yang di butuhkan player lain di buat gampang membentuk sinergi dan heronya di buat cepat naik bintang sdngkan kita bakalan di siksa dengan sulit membentuk sinergi,1,effectiveness,negative
game yang bagus dan mengasah otak,5,satisfaction,positive
apa tidak bisa dark sistem dihilangkan saya dari mityc kalian buat sampai mityc,1,satisfaction,negative
game burik tengah malem saya download lagi setelah vakum ingin main mc ternyata sudah terpisah mau login akun mc yang terhubung ke mlbb hilang akun mc tidak bisa login ke akun yang dulu woy balikin akun saya yang dulu bangve,1,satisfaction,negative
kecilkan ukurannya kalau perlu buat versi lite ini sering lah dan patahpatah setiap main karena kalau tidak koneksi yang stabil ya kemungkinan besar di gamenya ini karena sering sekali tibatiba lag lalu free tidak jls padahal koneksi aman wifi data penyimpanan juga masih sisa,1,effectiveness,negative
parah sekali mencari hero gold di lvl keatas tidak dapat dapat sampai kalahnya benar benar ratenya kacau,1,effectiveness,negative
bagus grafik nya juga keren,5,satisfaction,positive
burik sistem nya jelek,1,satisfaction,negative
game tertolol dan buruk,1,effectiveness,negative
perbaiki lebih keren lagi main,5,satisfaction,positive
good games,5,unknown,positive
muntun tempek,1,unknown,negative
kenapa error,1,effectiveness,negative
disaat relog dalam permainan terdapat bug atau error disaat mendapatkan item malah tidak muncul atau menerima item itu sangat mengganggu,2,satisfaction,negative
tutorial tidak bisa di skip untuk pertama kali install mana lama lagi,1,unknown,negative
tutorial tidak bisa di skip mana lama lagi,1,unknown,negative
bre,5,satisfaction,positive
gemenya bagus sekali,5,satisfaction,positive
game scamhilangin sinergi dawnbringer,1,satisfaction,neutral
sangat bagus tapi blesingnya cuman kalau bebih bagus atau,5,satisfaction,positive
bagus karena sangatmengunakan taktik untuk memenangkan game ini saya sangat suka game ini karena bermain takatik mantap mmk,5,satisfaction,positive
woi muntun kalau misal deh dapat sinergi under babak tingkatin chance buat dapat crystal sinergi itu lah buat apa lu buat super sinergi kalau ujungujungnya berat buat mendapatkan deh hero nya kadang kagak keluar keluar harus gacha lagi buat crystal nye bagaimana sih,1,effectiveness,negative
bagus pollllllll buat waktu luang biar tidak streesss kerjaaaaa trssssssss,5,satisfaction,positive
masalah game play selalu stack,1,unknown,negative
makin kesini makin kesonoh payah ribet,1,satisfaction,negative
game yang bejobejoan kalau tidak beruntung dapat hero bagus ya pasti kalah mau se effort apa utak atik strategi kalau tidak compatible hero ya looseee strike,1,effectiveness,negative
magic ches gogo ini game yang mengandalkan strategi terbaik,5,satisfaction,neutral
keren sihw,5,satisfaction,positive
hero jadi equip sinergi tidak di kasih sinergi jadi hero equip tidak di kasih equip melimpah hero boro² level sinergi tidak jadi ada bintang mines saya kasih mines uninstall,1,effectiveness,negative
lop lu,5,effectiveness,negative
game enggak jelas mending balik lagi ke megic cess,1,satisfaction,negative
game ini strategi dan luck saat saya main kemarin setelah di harihari sebelumnya mendapatkan winstreak kali beruntun dalam hari main di hari ini saya mendapatkan lose dengan posisi selama kali beruntun masa iya sinergi yang tidak dipakai sama orang lainheronya sama sekali tidak ada yang pakai sulit sekali mendapatkannya ditambah saya dikasih kartu jelek terus menerus kali main dan hanya mendapatkan satu kali kartu kuning yang itupun tidak bagus efeknya,1,satisfaction,negative
all good,5,unknown,positive
game tidak jelas game tolol pilih kasih,1,effectiveness,negative
rolinggannya bagus gacor,5,satisfaction,positive
mainnya nyaman dan bisa berpikir panjang dalam strategi,5,satisfaction,positive
masih menarikan yang pertama rilis untuk untuk di mainkanya untuk selanjutnya tolong di perkembangin lagi megic chess awal,4,effectiveness,negative
game busuk habis ketemu musuh a di ronde ketemu lagi musuh yang sama di ronde ngontak lah,1,satisfaction,negative
lylia tidak mendapatkan gold dari sinergi eruditio lylia tidak mendapatkan gold setiap match sehingga tidak dapat menaikan level ini namanya diskriminasi dimana komander lain mendapatkan gold setiap babak dan gold dari sinergi eruditio namun lylia tidak mendapatkannya akibat skill tharz aktif,5,satisfaction,negative
game rusak refresh toko tidak muncul hero yang ada di papan catur yang beruntung menang yang tidak beruntung kalah bukan skill menentukan,1,effectiveness,negative
game rusak coba jangan kikir lah,1,effectiveness,negative
goodd sekali,4,unknown,positive
game bagus banyak komba yang tak terduga yang membuat game tambah menyenangkan,5,satisfaction,positive
pembagian item gogo card tidak adil,1,effectiveness,negative
tidak bisa berkata buat mengisi waktu luang,5,satisfaction,negative
game yang cocok buat orang yang beranjak masa tua wkwk,5,satisfaction,positive
pertahankan seperti ini dan tolong bantu beri opsi pemilihan skill komander seper yang lama contoh ling panggung adakan lagi,5,effectiveness,neutral
koneksi naik turun,5,satisfaction,negative
tidak ada fitur untuk melihat foto profil,1,unknown,neutral
koneksi bagus tiba menghubungkan kembali,1,satisfaction,positive
pengalaman buruk hero gold nyarinya menggunakan gold,1,effectiveness,negative
banyak sekali yang tidak sesuai di dalam hero dan sinergi dan banyak juga damage yang tidak masuk akal ditambah dengan darah commander yang sangat cepat habis sangat tidak nyaman sekali bermain karena darah commander selalu diatas mengalami pengurangan saat kalah ingin rasanya uninstall aplikasi ini,1,satisfaction,negative
game plagiat,1,effectiveness,negative
drop rate nya enggak jelas busuk sekali sampah main beruntung saja nih game gapake skill pu bisa,1,satisfaction,negative
hayaa bitang tiga kok goblog sekali bisa membuat game tidak sihhmasa kalah sama thamuz sama freyaaa hapus saja game nya mcgg sekarang jeleng sekali,1,satisfaction,negative
seru moga bisa masuk mytik,5,satisfaction,positive
masih mantap saat ini di posisi pemula,5,satisfaction,positive
game papan yang seru,5,satisfaction,positive
bagus cuman sudah di pisah sama emelharus ada aplikasi sendiri,5,satisfaction,negative
game nya bagus tapi kalok mau jadikan bintang harus ngumpulin,4,satisfaction,negative
aplikasi jelek enggak dapat yang kita mau combo nya ashu,1,satisfaction,negative
game membuat orang jantungan,1,satisfaction,negative
game aneh gold kalah sama gold,1,effectiveness,negative
game yang menurut saya sangat hd mirip dengan mobil lejen tapi versi masih kecil nya,5,satisfaction,negative
game jelek judi tidak imbang lawannya,1,satisfaction,negative
game scam pembodohan,1,satisfaction,negative
rolll banyak scam hero gold bintang kalah sama gold bintang,1,effectiveness,negative
makin parah buat sopnya langsung uninstal,1,effectiveness,negative
cihuyy,5,unknown,positive
game nya bagussenang untuk dimain kan sedang saat santaitapi mohon diperbaiki lagi sistem lag nyatapi jujur game nya sangat bagus,5,satisfaction,positive
fitur baru asik dan seru saya suka sekali dengan fitur hero nya banyak hero baru terima kasih,5,satisfaction,positive
enak juga nih game tanda mau dewasa adalah bermain mcgg,5,satisfaction,positive
hai boleh lah,5,satisfaction,neutral
para admin yang ikut main netral dong jangan saat jadi lawan defend dan attak nya lawan di kurangi,5,satisfaction,negative
koneksi lancar enggak bisa menemukan matchmaking idiot developer aneh suruh lapor tapi enggak ada tindakan laennya buat memperbaiki kocak hdehhhh,1,satisfaction,negative
tolong itu suka error terus maaf tolong perbaiki merusak momen di dalam game soalnya saya sangat suka sekali game nya tolong ya sama boleh req tidak jadi commander nya skin nya bisa kita sting biar tidak bosan terus beli skin nya mahal soalnya,5,satisfaction,positive
aneh banyak bug leg tiba tiba mati sendiri commander nya padahal darah,1,satisfaction,negative
game nya sangat bagus dan cocok untuk saya yang suka main game strategi,5,satisfaction,positive
mantap men,5,satisfaction,positive
sangat suka cuman kalau sinergi nya suka tidak menyambung,5,satisfaction,negative
suka sekali pokoknya,5,satisfaction,positive
bagustetapi kadang kadang tidak sesuai ekspetasi masih enakann mc yang dulu,4,satisfaction,positive
mantap mantap,5,satisfaction,positive
menyala abng ku,5,satisfaction,negative
game scam hero tinggal satu lagi bintang mala tidak di kasih²,1,satisfaction,negative
gam terbaik dari verainya,4,satisfaction,positive
oii game apaan login saja gabisaaaa,1,unknown,negative
lu download nih buruan gamenya seru jir,5,satisfaction,positive
setarakan semua pemilihan hero,1,effectiveness,negative
jangan kasih bala min hero nya,5,satisfaction,negative
game rusak enggak pernah beruntung,1,effectiveness,negative
bagus game nya main nya juga gampangcuma minus nya ada bisa koneksi enggak sabil,5,satisfaction,positive
maaf tidak suka abdet commander tharz bukanya menambah hiro palh namanya ponsel ayolah balikin tharz yang duluuuutadinya saya kasih bintang lima turun lagi kecewa sihhmakasih,2,satisfaction,negative
bagus buat membuat taktik,5,satisfaction,positive
catur yang buat kita mikir tapi seru,4,satisfaction,positive
mangtap,5,satisfaction,positive
ton kasih,5,satisfaction,positive
cocok sekali buat dijadikan game teman di jam kosong,5,satisfaction,positive
kembalinya waepon master baru seru,5,satisfaction,positive
lumayan buat mengurangi stres,5,satisfaction,positive
game terbaik sama baiknya dengan mlbb kadang sampai lupa waktu mainnya,5,satisfaction,positive
kasih saya bijii astrooooo,5,unknown,negative
aman aman saja selama kalian tahu mainnya,5,satisfaction,negative
semoga dapat skin miya,5,satisfaction,positive
bagus kalau bisa kasih saya winstrike terus,5,satisfaction,positive
susah mencari hero yang dibutuhkan dark sistem tolol,1,effectiveness,negative
musuh enggak pernah seimbang,1,satisfaction,negative
tolong untuk masalah koneksi lebih di tingkatkan lagi kami sebagai penggemar mcgg kadang kecewa jika jaringansinyal ping parah dan menghubungkan ulang,5,satisfaction,negative
kenapa setiap akhir babak lag nya parah sampai tidak bisa ngapa mengapa semua aplikasi sudah saya hapus tapi tetap saja lag para,2,satisfaction,negative
sippp mntp,5,unknown,negative
game nya bagus saya pemain mc sisen sangat puas,5,satisfaction,positive
seru pengalaman main games magic chess,5,satisfaction,positive
semoga sukses selalu jangan lupa kirim skin atau magic chess board,5,satisfaction,neutral
sangat menyenangkan untuk dimainkan terimakasih telah ada,5,satisfaction,positive
aplikasi tidak jelas,1,unknown,negative
ini game parah sering menghubungkan terus match hero yang dibutuhkan tidak dikeluarin kartu power jelek kalau sudah dirank mhytic banyak perubahan hero yang tidak sesuai top up juga tidak guna,1,effectiveness,negative
tidak suka main mlbb tapi main mcgg sini ngumpul,5,satisfaction,negative
suka sekali tapi mengesalkan susah cari hero sesuai keinginanprofile saya jurigcangcut tolong di bantu min biar mudah dapat hero sesuai keinginan,5,satisfaction,negative
kembalikan mode nostalgia kalau mau player nya banyak lagi mode rank seperti kartun guys terima kasih,5,satisfaction,positive
terus menerus di update,5,effectiveness,neutral
maaaantap,5,satisfaction,positive
sinyal dong perbaiki masa dari tadi menghubungkan terus mending saya uinstall saja lah,1,satisfaction,negative
mcgg sudah bagus saran saya tambahkan fitur melihat profil masak habis main tidak bisa lihat profil nya musuh,5,satisfaction,negative
saya suka pembaruan hari ini,5,satisfaction,positive
gogo,5,unknown,negative
bintang dulu kalau makin asyik kasih bintang,4,satisfaction,negative
kembalikan brody dan gatot legend dan gord jadikan hero legend itu pasti lebih menantang,3,satisfaction,positive
tolong sediakan fitur pausestop download saat di dalam min soalnya buat hemat penyimpanan,3,satisfaction,positive
karena mlbb saya doang yang di close ingame dan kalah kalau tidak begitu tidak kalah maka saya juga uninstall afk game moonton thanks deh pindah game sebelah,1,satisfaction,neutral
juossss sekali,5,unknown,positive
trash game this year gold stars loses tapi gold stars very unfair this game is very unreasonable for those who want tapi install this game i strongly suggest not tapi because this game pays first before you can win this is the highest ranking scam game just like the first game,1,satisfaction,negative
kalau sinergi doomsworm di hapus baru saya bintang,3,satisfaction,neutral
game lumayan bagus tapi membuat rusak gadget error terus,1,satisfaction,negative
kalau main susah cari hero buat bintang masa kalau lihat musuh seperti gampang sekali cari hero bintang dan poin kekalahan juga enggak ngotak waktu dipertandingan saya kalah nomor ponya dan yang kalah itu ponya lebih sedikit dari saya seharusnya strategi yang terlama dan kuat harusnya poinnya lebih sedikit dong monton pilih kasih,1,satisfaction,negative
roll nya terlalu berpihak apa setok hero sudah habis tapi masih muncul di sop padahal posisi nya musuh tidak punya mirordref tapi kok bisa tiba tiba muncul heronya di sop itu enggak terjadi pada musuh saja pada saya juga padalah setok hero sudah habis tapi masih muncul di sop musuh nya saja sampai kaget kok karena heronya masih muncul tolong di benerin sistem rol nya dan juga ada lagi kadang ngebak masalah setok hero juga masak tidak ada yang ambil hero itu tapi hero nya sudah berkurang,1,satisfaction,negative
bolehlah edisi pensi dari mlbb,4,satisfaction,neutral
bagus sih bagus tapi kadang aga lemott,5,satisfaction,negative
penghibur dikala jenuh main mcgg saja seru dan asyik,5,satisfaction,positive
semoga game nya kedepan jadi game terbaik perbanyak event dan kolaborasi biar ramai game ini,5,satisfaction,positive
game ya seru banyak ifen yang menarik walou tidak dapat skin,5,satisfaction,positive
senang dan santay,4,satisfaction,positive
sudah benar aplikasi sama ml malah makin sini makin burik gue hapus sudah,1,satisfaction,negative
lebih suka mc ggo dari pada ml nya,5,satisfaction,positive
saya sering di curangi,5,satisfaction,negative
okla,5,effectiveness,positive
mntp tapi akun lamanya tidak tertaut,5,satisfaction,neutral
mode practice cuma buat seleb pelit hero,1,effectiveness,negative
tolong dong wawan di naikin golnya menjadi gold nya biar makin seru mainnya cuman itu saja ulasan dari saya,5,satisfaction,neutral
ini kalau hapus ml masih tetap bisa main mcgg tidak sih,5,satisfaction,negative
tolong dikasih fitur boking seperti mlbb bair kita bisa tahu dia main nya lama atau tidak,4,satisfaction,neutral
sungguh bagus,5,satisfaction,positive
mantap sih gane nya saya suka jadi kalian haruss cobakin jgk,5,satisfaction,positive
yang lain dapat skin mc gogo kok saya tidak di kasih dapat padahal main mc gogo deh lama,5,satisfaction,negative
lebih baik dan praktis,5,satisfaction,positive
kalau bisa membuat aplikasi magic chess go go offline biar lebih asyik,5,unknown,positive
godd job,5,unknown,negative
lumayan lahtapi tolong bisa di lamain tiap pertandingannya buat lebih balance tiap commandernya dan menantang,5,satisfaction,positive
game seru habis,5,satisfaction,positive
bagus menghilangkan kebesaransimple tapi membuat lupa waktu saja sih,5,satisfaction,negative
gamenya tidak jls masak enggak dapat hero yang dibutuhkan sama sekali,1,effectiveness,negative
mending main ini dari pada ml nya,5,satisfaction,negative
secara keseluruhan sudah baik hanya saja kadang lag dan bug harap pihak developer segera memperbaiki dan melakukan optimalisi dan pembaharuan secepatnya untuk sinergi dan hero yang ada,5,effectiveness,positive
overall semua bagus dan seru tapi ada bug yaitu saya menggunakan moskov nah saya mau taro ke ritual tapi tidak bisa dan akhirnya malah jadi juara kurang jadi tolong perbaiki ya,3,satisfaction,negative
game bagusenak buat santai,5,satisfaction,positive
asyikkk menantang dan santai,5,satisfaction,positive
good game saya suka nih cuman commander aurora nya presentase nya agak gedein bagian gold kristal dan hero saja sih,5,satisfaction,positive
match making yang masih bobrok solo vs tim fungsi report tidak berguna banyak cheat game ini bisa dimainkan player dengan device joki pengaturan goldherolag dark moonton rating dari saya bukan parah,1,satisfaction,negative
makin mundur fitur chat setelah pertandingan harus pilih line dulu,1,effectiveness,neutral
game ini sangat asik dan seru apalagi dimainkan dengan santay,5,satisfaction,positive
game ini bagus sekali sumpah bisa mengatur setrategi,5,satisfaction,positive
tolong dong diperbaiki masalah ada di aplikasi setelah pertandinga saya menunggu menit baru bisa main koneksi aman,4,satisfaction,negative
game ini membuat handphone saya ngeframe tapi ini game sangat bagus,5,satisfaction,positive
perbaiki lah koneksi bagus masa lag leg,1,satisfaction,negative
karena tidak ada mode offline,4,unknown,neutral
tolong ditambahkan mode vsvs minbiar makin seru dan bisa mabar sama teman lalu untuk comander tharzlilyadi buff agar skillnya bisa sempurnamasak belum sampai bintang sudah kalahdan sebaliknya kalau sudah bintang lawan tinggal orang orang kurang serumohon diperhatikan,3,satisfaction,negative
permainan bagus game musuh saat jadi setiap main win sampai dari awal sampai sekarang win,5,satisfaction,positive
game ini favorit sayaditunggu updatenya lagi ya,5,satisfaction,positive
game dongokk,1,unknown,negative
game apalah,1,satisfaction,negative
saat bermain di mode advan server selalu crash,5,satisfaction,negative
game agak berat sekarang membuat ponsel cepat panas,3,effectiveness,negative
mantap min jos lah pokoke,1,satisfaction,positive
terlalu mengandalkan keberuntungan dan sistem pertemuan pertarungan yang tidak adilkarna sebagai player roll atas yang ingin comeback sangat susah karena setelah melawan player yang sama di round lalu melawan player yang sama lagi walaupun mirror dan itu sangat merugikan,1,effectiveness,negative
cukup bagus tapi yang saya enggak suka sinyal nyai sih sudah lancar kok koneksi erro saat saya main ff lancar,3,satisfaction,positive
kenapa tidak ada fitur lihat profil musuhorang yang habis main sihpadahal download bermb mbak,2,satisfaction,negative
tolong dong evaluasi lagi prihal comander yuki ketemu dia seperti lawan damage doang berasa jadi bego,3,satisfaction,negative
bagus tapi lebih ditingkatkan lagi efektifitas koneksi nya,5,satisfaction,negative
coin ngerol tidak dapat apa apa padahal di shop masih sisa hero enggak,1,effectiveness,negative
senang tapi suka emosi juga susah dapat hero nya hehehe,5,satisfaction,negative
penunda amarah,5,effectiveness,negative
gempa bagus sekali kak,5,satisfaction,positive
game skem tidak dikasih astro mmk enggak usah di download game haram skem,1,satisfaction,negative
